r_ID,Status_Description,MCAT,GPA_Science,GPA_Overall,CASPer,Gender,Ethnicity
38,Withdrawn Through Match,511,3.93,3.93,-0.58,Female,Asian
39,Reject Before Interview,494,3.53,3.49,-1.72,Male,African American
40,Reject Before Interview,521,3.96,3.98,0.17,Female,Asian
41,Reject Before Interview,500,3.49,3.65,-0.12,Female,Asian
42,Withdrawn After Acceptance,517,4,4,-1.32,Female,White/Caucasian
43,Reject Incomplete,494,3,3.31,-0.19,Female,Hispanic
44,Reject Before Interview,511,3.94,3.82,-1.7,Female,African American
45,Reject Before Interview,486,3.69,3.76,0.6,Male,Asian
46,Reject Incomplete,499,3.16,3.34,0,Male,African American
47,Reject Before Interview,526,4,4,-0.68,Male,White/Caucasian
48,Reject Incomplete,488,3.02,3.21,-0.68,Female,Asian
49,Reject Before Interview,509,3.51,3.64,-1.48,Male,White/Caucasian
50,Reject Before Interview,512,4,4,0.67,Female,Asian
51,Reject Before Interview,509,3.41,3.39,0.4,Female,Hispanic
52,Reject Incomplete,514,3.89,3.94,-0.6,Male,White/Caucasian
53,Reject Incomplete,502,3.06,3.32,,Male,Hispanic
54,Reject Before Interview,498,3.94,3.9,-1.14,Female,African American
55,Reject Incomplete,495,3.36,3.62,,Female,White/Caucasian
56,Reject Before Interview,512,3.91,3.94,-0.36,Female,Asian
57,Reject Incomplete,511,3.38,3.43,0.27,Female,White/Caucasian
58,Reject Incomplete,516,4,4,-1.22,Male,White/Caucasian
59,Reject Before Interview,485,3.53,3.66,2.12,Female,Hispanic
60,Reject Before Interview,505,3.26,3.38,-0.64,Male,Asian
61,Reject Before Interview,502,3.17,3.37,,Male,Asian
62,Reject After Interview,510,3.87,3.82,-0.15,Male,Hispanic
63,Reject Before Interview,508,3.61,3.74,-1.4,Female,Hispanic
64,Reject After Interview,512,3.93,3.92,,Male,White/Caucasian
65,Reject Before Interview,518,3.93,3.89,0.11,Male,Asian
66,Withdrawn Through Match,511,4,3.97,0.87,Female,Hispanic
67,Offer Declined,524,4,4,2.12,Male,Asian
68,Reject Before Interview,492,3.88,3.93,-0.13,Female,Asian
69,Waitlist Declined,512,4,4,-1.06,Male,White/Caucasian
70,Waitlist Declined,518,3.95,3.98,0.83,Male,White/Caucasian
71,Reject Before Interview,513,3.95,3.96,2.05,Female,White/Caucasian
72,Reject Before Interview,,3.56,3.62,0.51,Male,Asian
73,Reject Before Interview,503,3.35,3.49,-0.65,Male,African American
74,Reject Incomplete,519,3.77,3.83,0.45,Male,White/Caucasian
75,Reject Before Interview,504,3.8,3.83,-1.4,Female,Asian
76,Reject Incomplete,496,2.98,3.38,,Female,Hispanic
77,Reject After Interview,511,3.73,3.66,-1.4,Male,White/Caucasian
78,Reject Incomplete,496,3.84,3.87,,Female,White/Caucasian
79,Reject Before Interview,500,3.04,3.3,-0.83,Female,White/Caucasian
80,Reject Before Interview,523,3.96,3.97,0.18,Female,White/Caucasian
81,Reject Incomplete,503,3.27,3.47,0.66,Female,White/Caucasian
82,Reject Incomplete,509,3.6,3.67,0.27,Female,White/Caucasian
83,Reject Before Interview,512,3.99,3.93,-0.48,Male,White/Caucasian
84,Reject After Interview,512,4,4,-0.41,Female,Asian
85,Reject Before Interview,495,3.27,3.39,-0.95,Female,White/Caucasian
86,Reject Before Interview,511,3.68,3.78,-1.15,Male,White/Caucasian
87,Withdrawn Through Match,504,3.92,3.93,-0.64,Male,Asian
88,Reject Before Interview,504,3.35,3.42,-0.81,Male,White/Caucasian
89,Reject Before Interview,517,3.47,3.71,-0.14,Male,White/Caucasian
90,Matriculated,500,3.9,3.88,-1.52,Male,White/Caucasian
91,Reject Before Interview,496,2.99,3.25,-0.31,Female,Hispanic
92,Reject Before Interview,502,3.51,3.67,0.02,Male,White/Caucasian
93,Reject Before Interview,508,3.18,3.52,1.65,Male,Asian
94,Reject Before Interview,509,3.75,3.92,1.57,Male,White/Caucasian
95,Reject Before Interview,505,3.46,3.61,0.02,Female,Asian
96,Reject Before Interview,509,3.39,3.5,-1.88,Male,White/Caucasian
97,Reject Incomplete,506,2.99,3.01,-0.41,Male,White/Caucasian
98,Reject Before Interview,498,3.62,3.75,1.03,Female,White/Caucasian
99,Reject Incomplete,499,3.1,3.47,,Female,White/Caucasian
100,Reject After Interview,510,3.09,3.26,-0.32,Male,African American
101,Reject Before Interview,510,3.8,3.69,-0.35,Male,Hispanic
102,Reject Incomplete,517,3.51,3.53,0.2,Female,Hispanic
103,Reject Incomplete,509,4,3.98,,Male,Asian
104,Reject Before Interview,502,3.03,3.35,0.45,Female,White/Caucasian
105,Reject Before Interview,494,3.06,3,-1.57,Female,Hispanic
106,Reject Incomplete,499,3.27,3.58,,Female,Hispanic
107,Reject Before Interview,514,3.84,3.9,0.17,Male,Asian
108,Reject Before Interview,517,3.82,3.91,-0.43,Male,White/Caucasian
109,Reject Incomplete,,3.94,3.96,,Female,White/Caucasian
110,Reject Before Interview,503,3.54,3.72,1.26,Female,Asian
111,Reject Before Interview,514,3.48,3.55,-0.28,Female,White/Caucasian
112,Reject Incomplete,501,2.57,2.93,,Female,Multiple
113,Reject Before Interview,519,3.55,3.74,-0.64,Male,Hispanic
114,Reject Before Interview,506,3.83,3.9,0.54,Female,White/Caucasian
115,Reject Before Interview,495,3.6,3.72,-0.98,Female,Asian
116,Reject Incomplete,,3.23,3.58,,Female,Hispanic
117,Reject Before Interview,512,3.84,3.89,-0.99,Male,White/Caucasian
118,Withdrawn Through Match,501,3.9,3.94,-1.24,Male,Hispanic
119,Reject Before Interview,510,3,3.27,-0.23,Female,African American
120,Reject Before Interview,510,3.37,3.62,0.58,Female,Asian
121,Reject Before Interview,501,3.3,3.45,0.66,Female,Asian
122,Reject Before Interview,496,3.91,3.94,-1.99,Male,Hispanic
123,Reject Incomplete,478,2.18,2.41,,Female,Hispanic
124,Withdrawal Before Interview,508,3.22,3.65,,Male,Asian
125,Reject Before Interview,506,3.38,3.54,-1.48,Female,African American
126,Reject Before Interview,501,2.93,3.54,-1.1,Female,African American
127,Reject Before Interview,507,3.43,3.46,-1.22,Female,White/Caucasian
128,Reject Incomplete,499,3.32,3.54,-1.77,Female,Asian
129,Reject Before Interview,510,3.51,3.67,-0.39,Male,White/Caucasian
130,Withdrawal Before Interview,494,3.79,3.66,,Male,Hispanic
131,Reject Before Interview,506,3.22,3.36,0.78,Male,White/Caucasian
132,Reject Incomplete,508,3.52,3.71,,Male,Multiple
133,Reject Before Interview,492,2.41,2.74,0.13,Male,Hispanic
134,Reject Before Interview,504,3.07,3.32,1.04,Female,White/Caucasian
135,Reject Before Interview,511,3.11,3.41,1.66,Male,Unreported
136,Reject Before Interview,503,3.95,3.95,-0.49,Female,White/Caucasian
137,Reject Before Interview,506,3.57,3.58,-1.25,Female,Multiple
138,Reject Before Interview,497,3.56,3.3,,Male," Dominican; Hispanic, Latino, or of Spanish origin"
139,Reject Before Interview,497,3.19,3.52,-1.31,Male,White/Caucasian
140,Reject Before Interview,495,3.15,3.42,-1.71,Female,White/Caucasian
141,Reject Before Interview,504,3.26,3.56,0.58,Female,Asian
142,Reject After Interview,504,3.8,3.88,1.83,Female,Hispanic
143,Withdrawn Through Match,522,4,4,-0.11,Male,White/Caucasian
144,Reject Before Interview,486,2.89,3.26,-0.64,Female,African American
145,Reject Before Interview,503,3.57,3.62,0.61,Male,White/Caucasian
146,Prelim Reject,,3.27,3.48,,Female,Hispanic
147,Reject Before Interview,494,3.92,3.94,,Male,White/Caucasian
148,Reject Incomplete,507,2.71,3.32,,Female,Asian
149,Reject Incomplete,501,2.82,3.13,1.69,Female,White/Caucasian
150,Reject Incomplete,505,3.08,3.22,,Male,Hispanic
151,Reject Before Interview,513,3.71,3.66,-0.93,Male,White/Caucasian
152,Reject Before Interview,501,3.43,3.55,0.27,Male,White/Caucasian
153,Reject Before Interview,492,2.75,3.15,-0.29,Female,Hispanic
154,Reject Before Interview,505,3.82,3.73,-0.99,Male,Asian
155,Withdrawn Through Match,517,3.84,3.88,0.47,Female,Asian
156,Reject Before Interview,512,3.75,3.77,1.03,Male,Asian
157,Reject Before Interview,503,2.81,3.07,0.64,Male,Hispanic
158,Reject Before Interview,517,3.57,3.74,0.36,Female,Asian
159,Reject Before Interview,521,3.57,2.83,0.46,Male,White/Caucasian
160,Reject Before Interview,514,3.95,3.94,0.95,Female,White/Caucasian
161,Reject Incomplete,,3.06,3.45,,Male,Hispanic
162,Reject Before Interview,495,3.53,3.67,-0.42,Male,Hispanic
163,Reject Before Interview,510,3.99,3.99,-1.63,Male,White/Caucasian
164,Reject Incomplete,,3.51,3.6,-0.21,Female,Asian
165,Reject After Interview,525,3.82,3.67,-0.4,Male,White/Caucasian
166,Withdrawal Before Interview,506,3.67,3.67,0.58,Male,Hispanic
167,Reject Before Interview,508,3.95,3.97,-0.57,Male,Asian
168,Reject Before Interview,505,3.95,3.85,-0.75,Male,Unreported
169,Reject Before Interview,520,3.49,3.72,-1.55,Male,Hispanic
170,Reject Before Interview,513,3.54,3.61,1.57,Male,Asian
171,Reject Before Interview,505,3.42,3.61,-0.48,Female,Multiple
172,Reject Before Interview,485,2.28,3.03,-1.44,Male,White/Caucasian
173,Reject Before Interview,496,3.67,3.73,-0.49,Female,African American
174,Reject Before Interview,498,3.57,3.69,1.84,Male,Asian
175,Reject Before Interview,498,3.7,3.8,-0.67,Female,Asian
176,Reject Before Interview,493,3.3,3.46,-0.38,Female,White/Caucasian
177,Reject Before Interview,516,3.28,3.49,1.1,Male,Asian
178,Reject Incomplete,507,3.6,3.78,,Female,White/Caucasian
179,Reject Before Interview,511,3.72,3.79,-0.48,Male,Asian
180,Reject Before Interview,503,3.48,3.51,-0.43,Male,White/Caucasian
181,Reject After Interview,514,4,4,-0.23,Male,Asian
182,Reject Before Interview,512,3.92,3.95,-0.83,Female,White/Caucasian
183,Matriculated,,4,4,,Female,White/Caucasian
184,Reject Before Interview,508,3.95,3.97,,Female,White/Caucasian
185,Reject Before Interview,495,3.46,3.7,-1,Female,Asian
186,Reject Before Interview,510,3.66,3.77,-0.57,Female,Asian
187,Matriculated,504,3.22,3.44,-0.32,Male,Multiple
188,Reject Before Interview,502,3.39,3.59,-0.65,Male,Multiple
189,Reject Before Interview,,3.56,3.39,-1.15,Female,African American
190,Reject After Interview,524,4,4,,Male,White/Caucasian
191,Reject After Interview,510,3.27,3.49,-0.51,Male,White/Caucasian
192,Reject Before Interview,482,3.35,3.61,-1.09,Female,Hispanic
193,Reject Before Interview,493,3.12,3.09,-0.57,Male,Hispanic
194,Reject After Interview,508,3.87,3.91,-0.68,Male,White/Caucasian
195,Reject Incomplete,520,3.78,3.86,,Male,Asian
196,Withdrawn After Acceptance,519,3.91,3.95,0.76,Male,White/Caucasian
197,Reject Before Interview,501,3.48,3.56,1.08,Female,Hispanic
198,Reject Before Interview,509,3.9,3.96,1.18,Female,White/Caucasian
199,Reject After Interview,502,3.91,3.91,-0.61,Female,White/Caucasian
200,Reject After Interview,502,3.28,3.52,1.98,Male,Asian
201,Reject Before Interview,495,3.18,3.53,-0.73,Female,Hispanic
202,Reject Incomplete,516,3.96,3.97,,Female,Unreported
203,Withdrawn Through Match,509,3.86,3.93,1.11,Female,White/Caucasian
204,Reject Before Interview,503,3.06,3.27,0.83,Female,Hispanic
205,Reject Before Interview,499,3.34,3.49,0.83,Female,Multiple
206,Matriculated,512,3.95,3.97,-1.11,Male,Asian
207,Reject Incomplete,509,3.1,3.45,0.35,Female,White/Caucasian
208,Reject Incomplete,511,3.34,3.29,,Male,White/Caucasian
209,Reject Before Interview,,2.8,2.95,-1.12,Female,Hispanic
210,Reject Before Interview,501,3.4,3.62,0.1,Female,Asian
211,Reject Before Interview,495,3.68,3.8,-1.2,Female,Asian
212,Reject Incomplete,486,3.38,3.48,-0.46,Male,Hispanic
213,Reject Before Interview,499,3.67,3.78,0.37,Female,White/Caucasian
214,Reject Before Interview,497,3.25,3.54,-0.91,Female,Hispanic
215,Reject After Interview,505,4,4,-0.23,Female,White/Caucasian
216,Reject After Interview,505,3.53,3.7,-1.17,Male,African American
217,Reject Before Interview,518,3.73,3.78,1.12,Female,Asian
218,Reject Before Interview,496,3.53,3.48,-1.64,Female,Hispanic
219,Reject Before Interview,489,2.8,3.01,-1.3,Female,White/Caucasian
220,Reject After Interview,505,4,4,-0.44,Female,Asian
221,Reject Incomplete,497,3.33,3.54,,Female,Asian
222,Reject Before Interview,510,3.9,3.92,2.56,Male,Asian
223,Reject Before Interview,496,3.33,3.57,-0.09,Male,African American
224,Reject Incomplete,,3.27,3.42,,Male,White/Caucasian
225,Reject Incomplete,506,3.05,3.45,,Male,White/Caucasian
226,Reject Before Interview,490,3.71,3.8,-0.03,Female,Hispanic
227,Reject Incomplete,495,2.99,3.42,,Female,Asian
228,Reject Incomplete,502,3.41,3.77,0.9,Female,Unreported
229,Reject Incomplete,502,3.43,3.54,0.12,Female,Asian
230,Reject Before Interview,486,2.72,3.2,0.46,Female,White/Caucasian
231,Reject Before Interview,504,3.08,3.18,-0.29,Female,Asian
232,Reject Before Interview,497,3.13,3.39,-1.14,Female,Hispanic
233,Reject Before Interview,501,3.56,3.7,0.47,Female,White/Caucasian
234,Reject Incomplete,502,3.46,3.48,-1.41,Male,Asian
235,Reject After Interview,508,3.74,3.82,-0.44,Female,Asian
236,Reject Incomplete,495,3.21,3.64,,Female,Asian
237,Matriculated,,4,4,-1.22,Male,Asian
238,Reject Before Interview,488,3.26,3.41,-1.05,Female,African American
239,Withdrawn Through Match,513,3.85,3.93,-0.11,Male,White/Caucasian
240,Reject After Interview,511,3.92,3.95,1.15,Male,Asian
241,Reject Before Interview,496,3.71,3.78,-0.53,Male,Hispanic
242,Reject Incomplete,503,3.81,3.85,,Male,White/Caucasian
243,Reject Before Interview,501,3.2,2.99,1.24,Female,African American
244,Withdrawn Through Match,519,3.89,3.86,0.39,Female,White/Caucasian
245,Reject After Interview,513,3.91,3.94,-0.02,Male,Asian
246,Withdrawal Before Interview,,4,4,-1.02,Male,Hispanic
247,Reject Before Interview,513,3.92,3.96,-0.67,Female,Asian
248,Reject Before Interview,519,3.97,3.99,0.27,Male,White/Caucasian
249,Reject Incomplete,511,3.71,3.77,1.22,Male,Asian
250,Reject Before Interview,507,2.65,2.91,0.61,Male,African American
251,Reject Before Interview,498,3.21,3.59,-1.15,Female,White/Caucasian
252,Reject Incomplete,,3.41,3.74,,Male,Hispanic
253,Reject Incomplete,506,3.93,3.97,,Female,Asian
254,Withdrawn After Acceptance,528,4,4,0.53,Male,Multiple
255,Reject Before Interview,519,3.96,3.92,-0.32,Male,Asian
256,Reject Incomplete,,3.73,3.81,,Female,Asian
257,Reject Incomplete,498,2.91,3.07,-2.05,Female,African American
258,Reject After Interview,515,3.88,3.87,1.27,Male,White/Caucasian
259,Reject Incomplete,502,3.48,3.57,-0.27,Female,African American
260,Withdrawal Before Interview,,3.21,3.29,1.26,Male,White/Caucasian
261,Reject Before Interview,502,3.83,3.89,-0.75,Male,Asian
262,Reject Before Interview,,2.43,2.93,,Male,Hispanic
263,Reject Before Interview,507,3.4,3.49,-0.43,Male,Asian
264,Reject Before Interview,486,2.84,3.31,-0.67,Female,Hispanic
265,Reject Before Interview,495,2.53,2.99,0.12,Female,Asian
266,Reject Incomplete,517,3.35,3.52,2.25,Female,Asian
267,Reject After Interview,501,3.98,3.95,0.02,Female,White/Caucasian
268,Reject Before Interview,509,3.39,3.58,0.81,Female,Asian
269,Reject After Interview,514,3.84,3.88,-2.01,Male,White/Caucasian
270,Reject Before Interview,505,3.78,3.59,-0.83,Female,African American
271,Reject After Interview,509,3.77,3.91,0.13,Female,Asian
272,Reject Before Interview,511,3.56,3.55,0.33,Female,Asian
273,Reject Before Interview,513,3.84,3.92,0.28,Male,Asian
274,Withdrawal Before Interview,508,3.7,3.79,0.45,Female,Hispanic
275,Reject Before Interview,509,3.56,3.72,-0.52,Male,Hispanic
276,Reject Before Interview,505,3.33,3.62,-0.02,Female,White/Caucasian
277,Reject Incomplete,490,3.74,3.83,,Female,White/Caucasian
278,Reject Before Interview,502,3.46,3.73,-0.25,Female,White/Caucasian
279,Reject Before Interview,511,3.35,3.45,0.36,Female,Hispanic
280,Reject Before Interview,504,3.27,3.6,2,Female,Asian
281,Reject Before Interview,492,3.45,3.56,-1.59,Male,Hispanic
282,Reject Before Interview,506,3.15,3.14,0.4,Female,Hispanic
283,Reject Before Interview,497,3.59,3.68,,Male," Brazil; Hispanic, Latino, or of Spanish origin"
284,Reject After Interview,514,4,4,0.54,Female,Unreported
285,Reject Incomplete,498,3.3,3.58,-0.1,Female,Hispanic
286,Reject Incomplete,516,3.79,3.89,,Female,White/Caucasian
287,Withdrawn Through Match,524,4,4,-0.24,Male,White/Caucasian
288,Matriculated,,4,4,-0.06,Male,Asian
289,Reject Before Interview,509,3.36,3.56,-1.15,Female,Hispanic
290,Reject Before Interview,506,3.27,3.4,-0.73,Female,Asian
291,Matriculated,509,4,3.82,-0.8,Female,Hispanic
292,Reject Before Interview,510,3.66,3.76,-1.59,Male,White/Caucasian
293,Reject Before Interview,511,3.33,3.49,1.71,Male,Asian
294,Withdrawn Through Match,521,3.76,3.75,0.51,Male,White/Caucasian
295,Reject Before Interview,495,2.89,3.16,-0.38,Male,Hispanic
296,Prelim Reject,500,3.39,3.54,,Male,Hispanic
297,Reject Before Interview,505,3.72,3.79,0.11,Female,White/Caucasian
298,Reject Before Interview,505,3.83,3.92,-0.18,Male,Hispanic
299,Withdrawn After Acceptance,522,3.88,3.94,0.02,Female,White/Caucasian
300,Reject Before Interview,495,3.6,3.63,-1.27,Female,African American
301,Matriculated,504,3.47,3.56,-0.83,Male,African American
302,Reject Before Interview,489,3.31,3.43,-0.79,Male,Hispanic
303,Reject Incomplete,496,3.79,3.78,-1.28,Male,White/Caucasian
304,Reject Before Interview,508,3.82,3.91,0.02,Female,White/Caucasian
305,Reject Before Interview,505,3.54,3.79,-0.78,Female,White/Caucasian
306,Reject Incomplete,510,3.47,3.55,-0.42,Male,Asian
307,Reject Before Interview,501,2.31,2.56,-2.83,Decline to Answer,Hispanic
308,Reject Before Interview,497,3.37,3.61,-0.6,Female,White/Caucasian
309,Reject Before Interview,502,3.49,3.66,-1.01,Female,White/Caucasian
310,Reject After Interview,511,4,4,-0.33,Male,White/Caucasian
311,Reject Before Interview,504,3.38,3.49,-0.57,Female,White/Caucasian
312,Reject Incomplete,501,3.39,3.42,,Male,Hispanic
313,Withdrawal Before Interview,514,3.03,3.27,,Male,Hispanic
314,Reject Before Interview,510,3.34,3.27,-1.57,Female,White/Caucasian
315,Reject Before Interview,498,3.5,3.74,-0.44,Male,African American
316,Reject Before Interview,508,3.77,3.83,-1.74,Male,Asian
317,Withdrawn Through Match,513,3.86,3.92,-1.55,Male,White/Caucasian
318,Reject After Interview,501,3.71,3.75,-2.2,Male,White/Caucasian
319,Reject Before Interview,503,3.56,3.58,-0.24,Female,White/Caucasian
320,Reject Incomplete,516,3.43,3.59,0.4,Male,Asian
321,Reject Before Interview,510,3.76,3.83,-0.66,Male,Asian
322,Reject Before Interview,506,3.32,3.54,-0.15,Female,White/Caucasian
323,Reject Incomplete,503,3.59,3.55,0.37,Female,Asian
324,Withdrawal Before Interview,489,3.8,3.84,,Female,Asian
325,Reject Before Interview,517,3.94,3.93,,Female,Asian 
326,Reject Before Interview,509,3.56,3.66,0.31,Male,Hispanic
327,Reject Incomplete,503,3.71,3.86,-0.57,Female,White/Caucasian
328,Reject Before Interview,514,3.49,3.55,-2.02,Male,Hispanic
329,Reject Before Interview,506,3.31,3.44,0.01,Male,White/Caucasian
330,Reject After Interview,506,4,3.98,0.01,Female,White/Caucasian
331,Reject After Interview,510,4,4,-1.49,Female,White/Caucasian
332,Matriculated,515,3.86,3.93,0.52,Male,White/Caucasian
333,Reject Before Interview,491,3.48,3.6,-0.68,Female,African American
334,Withdrawn Through Match,504,3.94,3.96,-0.72,Female,Hispanic
335,Reject Before Interview,507,3.37,3.52,-0.81,Female,White/Caucasian
336,Reject After Interview,506,4,3.98,2.22,Female,White/Caucasian
337,Reject Before Interview,509,3.19,3.44,0.13,Female,Hispanic
338,Reject Before Interview,502,3.4,3.54,-0.06,Female,White/Caucasian
339,Reject Before Interview,509,3.49,3.63,0.2,Male,Hispanic
340,Reject After Interview,507,4,3.98,-0.38,Female,African American
341,Reject Before Interview,491,2.99,2.97,-1.98,Female,African American
342,Reject Before Interview,520,3.6,3.71,0.02,Male,Asian
343,Reject Before Interview,508,3.38,3.56,-0.43,Female,Multiple
344,Reject Before Interview,512,3.91,3.96,0.04,Male,White/Caucasian
345,Reject Before Interview,507,3.69,3.75,1.29,Male,Asian
346,Reject Incomplete,,3.52,3.71,1.93,Female,Asian
347,Reject After Interview,522,4,3.98,-1.15,Male,White/Caucasian
348,Reject Incomplete,520,4,4,0.11,Male,Asian
349,Reject After Interview,509,3.95,3.96,0.12,Male,Asian
350,Withdrawn After Acceptance,517,4,3.97,0.54,Male,Asian
351,Reject After Interview,503,3.97,3.98,0.35,Female,White/Caucasian
352,Reject Incomplete,512,3.81,3.92,,Male,White/Caucasian
353,Reject Before Interview,513,3.59,3.67,0.09,Male,Asian
354,Withdrawal Before Interview,,3.69,3.79,,Female,Asian
355,Reject Before Interview,507,3.69,3.67,0.45,Female,Asian
356,Reject Before Interview,513,3.61,3.52,0.21,Male,White/Caucasian
357,Reject Before Interview,489,3.79,3.84,0.05,Male,Hispanic
358,Reject Before Interview,498,3.41,3.64,-0.52,Female,White/Caucasian
359,Reject Before Interview,493,3.39,3.55,0.67,Female,White/Caucasian
360,Reject Before Interview,503,3.44,3.71,-0.16,Female,White/Caucasian
361,Reject Before Interview,507,3.84,3.85,-2.09,Male,Asian
362,Reject Before Interview,500,3.54,3.64,-0.31,Female,Multiple
363,Reject Before Interview,493,2.84,3.16,-1.37,Female,African American
364,Reject Incomplete,,3.54,3.11,-0.03,Female,Hispanic
365,Withdrawn Through Match,520,4,4,0.27,Female,Asian
366,Reject Before Interview,512,3.09,3.24,0.21,Female,Asian
367,Reject Before Interview,499,3.07,3.44,-0.59,Female,Multiple
368,Reject Incomplete,508,3.76,3.84,-0.81,Male,White/Caucasian
369,Deferred,,4,4,-0.53,Female,Asian
370,Reject Before Interview,501,2.89,3.27,-0.72,Male,Hispanic
371,Reject Before Interview,512,3.85,3.82,1.08,Female,White/Caucasian
372,Reject Before Interview,505,2.7,2.88,-2.32,Male,White/Caucasian
373,Reject Incomplete,517,4,3.79,-0.19,Male,White/Caucasian
374,Reject Incomplete,509,3.79,3.88,,Female,White/Caucasian
375,Reject Before Interview,508,3.25,3.52,0.02,Female,White/Caucasian
376,Reject Before Interview,487,2.73,3.27,-0.57,Female,Hispanic
377,Reject Incomplete,484,2.07,2.96,-2.17,Female,African American
378,Withdrawn Through Match,509,3.64,3.76,-2.33,Male,Hispanic
379,Reject Before Interview,485,2.97,2.98,-0.72,Male,Hispanic
380,Reject Incomplete,483,1.62,2.15,-1.59,Male,Hispanic
381,Reject Incomplete,489,3,3.08,,Male,Hispanic
382,Reject Before Interview,515,3.73,3.83,1.59,Male,Asian
383,Withdrawn Through Match,518,4,4,0.45,Female,Asian
384,Reject Before Interview,503,3.43,3.57,1.24,Female,Multiple
385,Withdrawal Before Interview,508,3.82,3.88,-1.54,Male,Unreported
386,Withdrawal Before Interview,512,3.89,3.94,-0.43,Male,White/Caucasian
387,Reject After Interview,510,3.82,3.8,1.88,Male,Asian
388,Reject Incomplete,497,3.4,3.5,0.01,Female,White/Caucasian
389,Reject Before Interview,501,3.37,3.57,-0.79,Female,White/Caucasian
390,Matriculated,509,3.39,3.36,0.11,Male,White/Caucasian
391,Reject Before Interview,505,3.51,3.64,0.68,Male,Asian
392,Reject Before Interview,509,3.76,3.77,-1.02,Female,Asian
393,Reject After Interview,516,3.51,3.59,-1.39,Male,Asian
394,Reject Incomplete,504,3.16,3.59,-0.42,Female,White/Caucasian
395,Reject After Interview,506,3.71,3.82,0.91,Female,White/Caucasian
396,Reject Before Interview,507,3.29,3.37,0.12,Female,White/Caucasian
397,Reject Before Interview,509,3.21,3.5,0.02,Female,Asian
398,Reject Before Interview,497,3.13,3.5,-0.05,Female,Hispanic
399,Reject Before Interview,513,3.92,3.96,1.56,Male,White/Caucasian
400,Withdrawn After Acceptance,515,4,3.86,-0.89,Male,Multiple
401,Reject Before Interview,497,3.26,3.58,0.08,Female,African American
402,Reject Before Interview,495,3.3,3.5,-1.72,Female,Unreported
403,Reject Before Interview,502,3.86,3.94,1.08,Female,Asian
404,Reject Before Interview,499,3.52,3.62,0.24,Male,White/Caucasian
405,Reject Before Interview,515,3.84,3.87,0.51,Male,Asian
406,Reject Before Interview,503,3.71,3.83,-1.06,Female,Unreported
407,Reject Before Interview,508,3.15,3.67,-0.24,Female,Hispanic
408,Withdrawn Through Match,511,4,3.98,-0.48,Male,Hispanic
409,Reject Incomplete,,2.71,2.8,,Male,Hispanic
410,Reject Incomplete,498,3.53,3.79,-0.17,Female,African American
411,Reject After Interview,508,4,4,-1.03,Male,Hispanic
412,Withdrawn After Acceptance,525,4,4,0.94,Female,White/Caucasian
