r_ID,Status_Description,MCAT,GPA_Science ,GPA_Overall,CASPer,Gender,Ethnicity
44,Reject Before Interview,504,3.05,3.37,0.73,Male,Asian
45,Reject Before Interview,496,3.59,3.6,0.87,Male,Asian
46,Reject Before Interview,509,2.71,3.1,-0.27,Male,Asian
47,Reject Before Interview,492,3.19,3.46,-0.43,Female,African American
48,Reject Before Interview,515,3.71,3.75,0.02,Male,Multiple
49,Reject Before Interview,513,3.03,3.28,-0.54,Male,Asian
50,Reject Before Interview,509,3.64,3.68,0.59,Female,White/Caucasian
51,Reject Before Interview,515,3.74,3.87,0.98,Male,White/Caucasian
52,Reject Before Interview,486,3.23,3.4,-0.31,Female,African American
53,Reject After Interview,498,4,4,0.9,Female,Hispanic
54,Reject Before Interview,507,3.79,3.87,0.11,Female,Asian
55,Reject Before Interview,484,2.96,3.22,-1.56,Female,Hispanic
56,Admitted,510,4,4,-0.76,Female,Hispanic
57,Reject Before Interview,507,3.07,3.33,0.79,Male,White/Caucasian
58,Reject Before Interview,498,3.06,3.4,-0.98,Female,Hispanic
59,Reject Before Interview,507,3.57,3.75,0.16,Female,Hispanic
60,Reject Before Interview,518,3.99,3.99,-0.55,Male,White/Caucasian
61,Withdrawn Through Match,518,3.86,3.88,-0.06,Male,White/Caucasian
62,Reject Before Interview,488,1.55,2.04,,Male,Unreported
63,Reject Before Interview,507,3.8,3.9,-1.27,Female,Unreported
64,Reject Before Interview,520,4,4,,Male,White/Caucasian
65,Reject Before Interview,507,3.25,3.4,-1.61,Male,White/Caucasian
66,Reject Before Interview,511,3.68,3.71,-0.7,Male,Hispanic
67,Reject Before Interview,500,3.45,3.5,0.79,Female,Hispanic
68,Reject Before Interview,498,3.64,3.62,-1.72,Female,Asian
69,Waitlist Offered,501,4,4,-0.36,Female,Asian
70,Reject Before Interview,511,3.93,3.93,-0.11,Male,White/Caucasian
71,Reject Before Interview,491,3.72,3.76,-1.71,Male,Hispanic
72,Reject Before Interview,500,3.9,3.73,-1.56,Male,White/Caucasian
73,Reject Before Interview,509,3.95,3.98,1.31,Female,White/Caucasian
74,Reject Before Interview,487,3.02,3.38,,Male,Hispanic
75,Reject Before Interview,500,4,3.97,-0.06,Male,White/Caucasian
76,Reject Before Interview,517,3.94,3.98,,Male,Asian
77,Reject Before Interview,517,3.98,3.99,,Female,White/Caucasian
78,Prelim Reject,,3.32,3.47,,Male,White/Caucasian
79,Reject Before Interview,521,0,0,0.92,Male,Unreported
80,Reject Before Interview,521,3.94,3.96,-0.27,Male,White/Caucasian
81,Waitlist Declined,517,3.86,3.88,0.48,Male,Multiple
82,Reject Before Interview,508,3.86,3.91,,Female,White/Caucasian
83,Reject Before Interview,494,3.54,3.51,-0.73,Female,White/Caucasian
84,Reject Before Interview,510,3.33,3.54,-1.17,Male,Hispanic
85,Reject Before Interview,,2.52,2.73,-2.37,Female,Asian
86,Reject After Interview,509,4,3.96,0.93,Male,Asian
87,Reject Before Interview,508,3.79,3.88,0.75,Female,Asian
88,Reject Before Interview,502,3.17,3.56,0.68,Female,White/Caucasian
89,Withdrawn Through Match,515,4,4,0.73,Female,Multiple
90,Reject Before Interview,510,3.48,3.7,-1.83,Male,African American
91,Reject Before Interview,490,2.87,3.04,-2.6,Female,White/Caucasian
92,Reject Before Interview,518,3.5,3.71,0.48,Female,White/Caucasian
93,Reject Before Interview,508,3.56,3.6,2.06,Male,White/Caucasian
94,Reject Before Interview,,2.3,2.66,,Female,African American
95,Reject Before Interview,496,3.41,3.46,-0.05,Male,Asian
96,Reject Before Interview,511,3.95,3.91,-1.12,Male,Multiple
97,Admitted,509,3.92,3.9,,Female,White/Caucasian
98,Reject Before Interview,515,3.86,3.91,-1.34,Female,White/Caucasian
99,Reject Before Interview,501,3.84,3.88,-1.47,Female,White/Caucasian
100,Reject Before Interview,510,2.95,2.85,0.38,Male,Hispanic
101,Reject After Interview,505,3.53,3.73,-0.65,Female,African American
102,Reject Before Interview,496,3.44,3.69,,Female,White/Caucasian
103,Reject Before Interview,518,3.79,3.87,0.22,Female,White/Caucasian
104,Reject Before Interview,504,3.75,3.86,0.8,Female,White/Caucasian
105,Reject Before Interview,508,3.96,3.93,0.98,Female,Asian
106,Waitlist Declined,521,3.96,3.98,-0.3,Female,Asian
107,Reject Before Interview,518,3.64,3.65,-1.04,Decline to Answer,Unreported
108,Reject Before Interview,507,3.08,3.46,-0.32,Female,Multiple
109,Admitted,512,3.66,3.8,1.5,Male,Multiple
110,Waitlist Offered,513,4,4,0.73,Female,White/Caucasian
111,Reject Before Interview,502,3.87,3.84,-2.05,Male,White/Caucasian
112,Withdrawn Through Match,513,3.8,3.81,0.18,Female,White/Caucasian
113,Reject Before Interview,509,3.96,3.97,-0.91,Female,Unreported
114,Reject Before Interview,502,3.6,3.75,-0.22,Female,Asian
115,Reject Before Interview,508,3.68,3.81,0.67,Female,Unreported
116,Reject Before Interview,510,3.81,3.86,0.23,Female,White/Caucasian
117,Reject Before Interview,513,3.11,3.43,0.5,Male,White/Caucasian
118,Reject Before Interview,498,3.83,3.76,0,Female,White/Caucasian
119,Reject Before Interview,495,3.3,3.62,,Female,African American
120,Reject Before Interview,496,3.17,3.47,0.88,Female,White/Caucasian
121,Reject Before Interview,510,3.5,3.56,-0.51,Female,White/Caucasian
122,Reject Before Interview,499,3.87,3.83,-0.1,Female,Hispanic
123,Reject Before Interview,504,3.38,3.56,0.58,Female,Asian
124,Reject Before Interview,500,3.9,3.92,1.01,Female,Hispanic
125,Reject Before Interview,519,4,4,,Male,White/Caucasian
126,Reject Before Interview,503,3.76,3.86,-0.26,Female,Hispanic
127,Reject Before Interview,493,3.58,3.72,-1.78,Male,African American
128,Reject Before Interview,500,3.14,3.41,0.59,Female,African American
129,Reject Before Interview,505,3.35,3.51,0.18,Male,Hispanic
130,Prelim Reject,,2.04,2.27,-1.12,Female,Asian
131,Admitted,511,3.3,3.17,-2.53,Male,White/Caucasian
132,Reject Before Interview,513,3.33,3.41,-1.12,Male,Hispanic
133,Reject Before Interview,505,3.74,3.73,0,Male,Asian
134,Reject Before Interview,489,2.99,3.13,,Female,African American
135,Withdrawal Before Interview,494,2.99,3.29,,Male,Asian
136,Reject Before Interview,511,3.74,3.86,0.29,Female,Asian
137,Reject Before Interview,509,3.99,3.99,-0.31,Female,African American
138,Reject Before Interview,507,3.49,3.74,1.01,Female,White/Caucasian
139,Reject Before Interview,504,3.78,3.86,0.75,Male,White/Caucasian
140,Reject Before Interview,508,3.11,3.16,-0.42,Female,Hispanic
141,Reject Before Interview,506,3.31,3.4,,Male,African American
142,Reject Before Interview,511,3.57,3.67,0.29,Female,White/Caucasian
143,Withdrawal Before Interview,498,3.86,3.94,-0.05,Female,Hispanic
144,Reject Before Interview,520,3.7,3.72,-0.89,Male,Asian
145,Reject Before Interview,508,3.37,3.61,0.28,Female,White/Caucasian
146,Reject Before Interview,501,2.66,3.43,0.23,Female,Hispanic
147,Reject Before Interview,522,3.79,3.83,-1.15,Male,White/Caucasian
148,Reject Before Interview,513,3.57,3.64,1.95,Female,Hispanic
149,Reject Before Interview,509,3.59,3.62,-0.47,Male,White/Caucasian
150,Reject Before Interview,505,3.94,3.89,0.78,Male,White/Caucasian
151,Reject Before Interview,518,2.94,3.04,-0.85,Male,Asian
152,Reject Before Interview,511,3.9,3.9,-0.04,Female,White/Caucasian
153,Reject Before Interview,497,3.66,3.76,-0.23,Female,Asian
154,Reject Before Interview,512,4,3.92,-0.36,Male,Asian
155,Reject Before Interview,506,3.75,3.8,0.44,Female,White/Caucasian
156,Reject Before Interview,509,3.48,3.69,0.42,Male,Unreported
157,Reject Before Interview,505,3.44,3.64,,Male,White/Caucasian
158,Reject Before Interview,509,3.64,3.72,-0.12,Male,White/Caucasian
159,Withdrawn Through Match,504,3.69,3.79,-0.85,Female,Hispanic
160,Reject Before Interview,498,3.53,3.69,0.17,Male,Asian
161,Reject Before Interview,519,3.46,3.62,0.36,Female,Asian
162,Prelim Reject,517,3.98,3.96,-0.12,Male,Hispanic
163,Reject Before Interview,500,3.58,3.76,1.08,Female,White/Caucasian
164,Admitted,507,3.95,3.97,-0.73,Female,White/Caucasian
165,Prelim Reject,481,2.8,2.86,,Female,African American
166,Withdrawal Before Interview,501,3.75,3.89,-1.25,Female,African American
167,Reject Before Interview,501,2.69,2.8,0,Male,Hispanic
168,Reject Before Interview,507,3.53,3.61,0.84,Female,White/Caucasian
169,Reject Before Interview,506,3.94,3.71,0.59,Male,Asian
170,Reject Before Interview,510,3.46,3.63,-1.64,Male,White/Caucasian
171,Withdrawn After Acceptance,514,4,4,1.24,Male,White/Caucasian
172,Admitted,,4,4,,Female,Asian
173,Reject Before Interview,520,3.6,3.84,-0.32,Female,White/Caucasian
174,Withdrawn Through Match,513,3.66,3.78,-0.32,Female,Hispanic
175,Reject Before Interview,523,3.78,3.73,0,Male,White/Caucasian
176,Reject Before Interview,511,3.69,3.78,0.42,Female,Asian
177,Withdrawal Before Interview,515,4,3.97,0.73,Female,Hispanic
178,Reject Before Interview,496,3.3,3.4,-0.7,Female,Multiple
179,Withdrawal Before Interview,515,3.68,3.84,-0.33,Male,African American
180,Offer Declined,512,3.71,3.78,1.96,Female,American Indian
181,Reject Before Interview,509,4,3.95,-0.89,Male,White/Caucasian
182,Reject Before Interview,501,3.27,3.45,-0.07,Male,Asian
183,Reject Before Interview,509,3.94,3.91,-0.49,Male,Hispanic
184,Reject Before Interview,513,3.89,3.94,0.88,Female,Multiple
185,Reject Before Interview,502,3,3.23,-0.2,Male,White/Caucasian
186,Reject Before Interview,518,3.93,3.95,0.22,Male,Asian
187,Reject Before Interview,508,3.88,3.85,-0.25,Male,White/Caucasian
188,Reject Before Interview,507,2.99,3.35,0.9,Male,Hispanic
189,Reject Before Interview,509,3.47,3.53,-0.27,Male,Asian
190,Reject Before Interview,501,3.49,3.58,-1.49,Female,Asian
191,Reject Before Interview,513,3.7,3.76,-1.17,Female,White/Caucasian
192,Reject Before Interview,488,3.08,3.44,-1.21,Female,Hispanic
193,Reject Before Interview,505,2.92,3.11,1.33,Male,White/Caucasian
194,Withdrawn Through Match,502,3.96,3.98,0.34,Male,Hispanic
195,Reject Before Interview,514,3.53,3.76,0.41,Female,Asian
196,Reject Before Interview,501,2.53,3.13,-0.56,Female,Multiple
197,Reject Before Interview,510,4,3.98,-0.07,Female,White/Caucasian
198,Reject Before Interview,502,3.16,3.42,-2.14,Female,Hispanic
199,Reject Before Interview,495,3.9,3.94,0.67,Female,White/Caucasian
200,Reject Before Interview,494,3.87,3.77,,Male,Asian
201,Reject Before Interview,487,2.43,2.98,0,Female,White/Caucasian
202,Reject After Interview,507,2.87,3.41,0.59,Female,Unreported
203,Reject Before Interview,505,3.2,3.54,0.66,Male,Asian
204,Reject Before Interview,518,3.42,3.65,-1.23,Male,Hispanic
205,Reject Before Interview,493,4,4,,Female,White/Caucasian
206,Reject Before Interview,514,0,4,-0.03,Male,Asian
207,Reject Before Interview,500,3.43,3.32,1.04,Male,White/Caucasian
208,Withdrawn within Match Range,514,3.73,3.88,1.16,Female,White/Caucasian
209,Reject Before Interview,504,3.36,3.42,-1.54,Male,White/Caucasian
210,Reject Before Interview,496,3.15,3.55,1.51,Male,White/Caucasian
211,Waitlist Offered,506,3.72,3.81,-1.24,Male,White/Caucasian
212,Reject Before Interview,505,3.65,3.77,-0.41,Female,Asian
213,Withdrawn Through Match,505,3.86,3.9,-1.13,Female,White/Caucasian
214,Reject Before Interview,507,3.91,3.96,-0.57,Female,Asian
215,Reject Before Interview,515,3.35,3.65,-0.66,Male,White/Caucasian
216,Reject Before Interview,508,3.81,3.83,-0.12,Female,Hispanic
217,Reject Before Interview,507,3.79,3.56,,Female,White/Caucasian
218,Admitted,506,3.8,3.87,-0.12,Female,Hispanic
219,Reject After Interview,506,4,3.98,-0.62,Female,White/Caucasian
220,Reject Before Interview,511,3.67,3.78,-0.31,Female,Asian
221,Reject Before Interview,504,3.57,3.6,-1.3,Female,White/Caucasian
222,Reject Before Interview,501,2.95,2.89,-1.56,Male,Hispanic
223,Reject Before Interview,517,3.79,3.84,0.66,Male,White/Caucasian
224,Reject Before Interview,499,3.8,3.88,-0.34,Male,Hispanic
225,Reject Before Interview,501,3,3.34,,Male,African American
226,Admitted,,4,4,,Male,White/Caucasian
227,Admitted,506,3.92,3.95,-0.42,Female,White/Caucasian
228,Reject Before Interview,522,3.78,3.87,1.31,Female,Asian
229,Withdrawn within Match Range,512,3.85,3.88,-0.9,Female,Hispanic
230,Reject Before Interview,502,3.41,3.31,-1.09,Male,White/Caucasian
231,Reject Before Interview,,3.65,3.74,,Male,African American
232,Reject Before Interview,514,3.8,3.86,,Male,Asian
233,Waitlist Offered,513,3.93,3.96,,Female,White/Caucasian
234,Reject Before Interview,522,3.59,3.68,-0.15,Male,Asian
235,Reject Before Interview,514,3.6,3.63,-1.34,Male,Asian
236,Reject Before Interview,498,3.34,3.54,-0.1,Female,White/Caucasian
237,Reject Before Interview,503,3.28,3.58,1.3,Female,White/Caucasian
238,Reject Before Interview,511,4,4,-0.52,Male,White/Caucasian
239,Reject After Interview,,3.75,3.85,0.52,Female,White/Caucasian
240,Reject Before Interview,512,4,4,-1.56,Male,Asian
241,Reject Before Interview,497,3,3.14,-0.86,Female,White/Caucasian
242,Reject Before Interview,512,3.83,3.88,-0.95,Female,Asian
243,Reject After Interview,506,3.3,3.55,-0.67,Female,Asian
244,Reject Before Interview,495,3.36,3.26,-0.05,Male,White/Caucasian
245,Reject Before Interview,508,3.93,3.95,,Female,White/Caucasian
246,Reject Before Interview,502,3.73,3.79,1.03,Female,Unreported
247,Reject Before Interview,514,4,4,0.54,Female,Asian
248,Reject Before Interview,510,3.07,3.31,1.41,Male,White/Caucasian
249,Reject Before Interview,515,3.54,3.7,0.51,Female,Asian
250,Reject Before Interview,519,3.88,3.86,1.85,Male,White/Caucasian
251,Admitted,509,3.87,3.92,,Female,Asian
252,Reject Before Interview,525,3.94,3.93,1.13,Female,Asian
253,Reject Before Interview,512,4,4,1.37,Male,White/Caucasian
254,Reject Before Interview,508,3.84,3.89,,Female,White/Caucasian
255,Reject Before Interview,520,4,4,0.41,Female,Unreported
256,Reject Before Interview,,3.94,3.89,0,Male,Asian
257,Reject Before Interview,498,3.82,3.73,-0.59,Female,Asian
258,Reject Before Interview,511,4,3.96,0.62,Male,White/Caucasian
259,Reject After Interview,518,4,4,,Female,White/Caucasian
260,Withdrawn Through Match,511,3.86,3.94,-0.87,Male,Hispanic
261,Reject Before Interview,501,3.71,3.83,-0.18,Female,White/Caucasian
262,Reject Before Interview,489,2.8,3.04,-1.8,Female,Asian
263,Reject Before Interview,514,3.48,3.55,0.09,Female,White/Caucasian
264,Reject Before Interview,517,3.31,3.51,0.04,Male,Asian
265,Reject Before Interview,487,3.57,3.55,0.1,Female,Asian
266,Reject Before Interview,487,3.32,3.48,0.67,Male,Hispanic
267,Reject Before Interview,501,4,3.98,-0.62,Male,White/Caucasian
268,Reject Before Interview,,4,4,,Male,White/Caucasian
269,Reject Before Interview,508,3.84,3.77,0.67,Male,White/Caucasian
270,Reject Before Interview,507,3.92,3.95,-0.51,Female,Asian
271,Reject Before Interview,500,3.16,3.07,-0.81,Female,Hispanic
272,Reject Before Interview,512,3.46,3.49,0.28,Male,Hispanic
273,Reject Before Interview,,2.82,3,-0.86,Female,White/Caucasian
274,Reject Before Interview,512,3.84,3.88,1.78,Female,White/Caucasian
275,Withdrawn Through Match,510,3.95,3.97,0.29,Male,Asian
276,Reject Before Interview,510,3.53,3.5,-1.04,Male,White/Caucasian
277,Reject Before Interview,494,3.88,3.42,,Male,Hispanic
278,Reject Before Interview,507,2.75,3.18,-1.02,Female,Hispanic
279,Reject Before Interview,519,4,3.97,0.21,Male,White/Caucasian
280,Reject Before Interview,521,3.52,3.63,,Female,White/Caucasian
281,Reject Before Interview,505,3.62,3.67,-0.98,Female,Hispanic
282,Reject Before Interview,507,3.84,3.85,1.76,Female,White/Caucasian
283,Reject Before Interview,508,3.65,3.74,0.42,Female,Asian
284,Reject Before Interview,513,3.93,3.96,0.01,Female,White/Caucasian
285,Reject Before Interview,516,3.83,3.88,0.3,Male,Hispanic
286,Reject Before Interview,507,3.12,3.21,-0.04,Female,Hispanic
287,Waitlist Offered,500,3.77,3.85,-1.24,Male,White/Caucasian
288,Reject Before Interview,519,3.63,3.75,0.5,Male,Asian
289,Reject Before Interview,507,3.51,3.64,0.27,Male,Hispanic
290,Reject Before Interview,494,3.44,3.4,0.26,Female,Asian
291,Reject Before Interview,517,4,3.95,-0.95,Male,White/Caucasian
292,Reject Before Interview,507,3.58,3.62,1.03,Male,Asian
293,Reject Before Interview,508,3.66,3.81,0.66,Female,Asian
294,Reject Before Interview,507,3.79,3.6,-0.56,Female,African American
295,Reject Before Interview,500,3.62,3.86,-1.7,Female,Hispanic
296,Reject Before Interview,507,4,3.98,-0.2,Male,Asian
297,Reject Before Interview,,3.65,3.73,,Female,Asian
298,Reject Before Interview,506,3.9,3.91,0.09,Male,White/Caucasian
299,Reject Before Interview,501,3.72,3.79,-1.11,Female,White/Caucasian
300,Reject Before Interview,505,3.57,3.77,-0.5,Female,African American
301,Reject After Interview,518,3.95,3.98,0.44,Female,Hispanic
302,Reject Before Interview,499,3.12,3.56,-0.4,Male,Asian
303,Prelim Reject,498,3.36,3.41,,Female,Unreported
304,Reject Before Interview,515,3.77,3.89,0.95,Female,Asian
305,Reject Before Interview,504,3,3.38,0.1,Female,White/Caucasian
306,Reject Before Interview,519,3.32,3.62,0.81,Female,Multiple
307,Reject After Interview,505,3.73,3.77,-1.86,Male,Asian
308,Reject Before Interview,514,3.35,3.33,-0.95,Female,Asian
309,Reject Before Interview,503,3.62,3.59,,Male,White/Caucasian
310,Reject Before Interview,521,4,3.96,-0.68,Male,Hispanic
311,Reject Before Interview,510,2.9,3.16,-0.06,Female,White/Caucasian
312,Reject Before Interview,518,3.84,3.91,-0.25,Male,Asian
313,Reject Before Interview,507,3.18,3.34,1.66,Male,White/Caucasian
314,Deferred,,4,4,1.42,Male,White/Caucasian
315,Withdrawal Before Interview,523,3.9,3.9,-1.25,Male,Asian
316,Withdrawn After Acceptance,520,3.93,3.94,1.75,Male,Asian
317,Reject Before Interview,509,3.83,3.92,-0.51,Male,Multiple
318,Reject Before Interview,506,3.37,3.46,0,Male,Asian
319,Admitted,,4,4,,Female,Asian
320,Admitted,507,3.29,3.43,-0.85,Male,White/Caucasian
321,Reject Before Interview,489,2.71,2.99,-0.35,Female,African American
322,Withdrawn After Acceptance,510,3.55,3.63,-0.12,Female,Hispanic
323,Reject After Interview,509,3.88,3.93,-1.32,Female,White/Caucasian
324,Reject Before Interview,499,3.48,3.31,-0.56,Male,White/Caucasian
325,Admitted,503,4,3.85,,Female,White/Caucasian
326,Reject Before Interview,491,3.76,3.8,-1.28,Male,Hispanic
327,Reject Before Interview,521,3.94,3.96,-0.69,Male,Asian
328,Reject Before Interview,512,3.6,3.63,-1.08,Male,Hispanic
329,Reject Before Interview,512,3.51,3.61,-0.69,Male,White/Caucasian
330,Reject Before Interview,506,3.66,3.61,0.33,Male,Hispanic
331,Reject Before Interview,510,4,3.94,,Male,White/Caucasian
332,Reject Before Interview,498,3.78,3.86,-1.02,Female,White/Caucasian
333,Reject Before Interview,506,2.88,2.96,0.3,Male,Unreported
334,Reject Before Interview,505,3.96,3.99,1.24,Female,African American
335,Reject Before Interview,497,3.2,3.39,0.11,Male,White/Caucasian
336,Reject Before Interview,518,3.52,3.55,0.17,Female,White/Caucasian
337,Reject Before Interview,501,3.56,3.65,-0.59,Female,White/Caucasian
338,Reject Before Interview,509,3.64,3.69,0.94,Female,White/Caucasian
339,Waitlist Offered,504,3.8,3.87,0.89,Female,White/Caucasian
340,Reject Before Interview,492,2.54,3.24,-0.21,Female,African American
341,Reject Before Interview,512,3.65,3.67,-1.2,Male,White/Caucasian
342,Reject Before Interview,503,3,3.2,-0.81,Female,Asian
343,Reject Before Interview,511,3.65,3.73,-0.85,Male,Asian
344,Admitted,509,3.4,3.64,0.04,Female,White/Caucasian
345,Reject Before Interview,514,3.11,3.06,1.82,Male,White/Caucasian
346,Reject Before Interview,511,3.17,3.21,,Female,African American
347,Reject Before Interview,519,3.38,3.58,-0.35,Female,White/Caucasian
348,Withdrawn Through Match,515,4,4,-1.78,Male,Hispanic
349,Reject Before Interview,506,3.78,3.83,-1.54,Female,Asian
350,Reject Before Interview,493,2.6,2.89,,Female,Asian
351,Reject After Interview,511,4,4,-0.98,Female,Multiple
352,Reject Before Interview,507,3.96,3.94,-0.03,Male,Asian
353,Withdrawn Through Match,501,3.7,3.78,-0.83,Female,African American
354,Prelim Reject,514,3.77,3.85,-0.81,Male,African American
355,Reject Before Interview,484,2.69,3.05,0.07,Female,African American
356,Reject Before Interview,512,3.75,3.66,-0.15,Male,White/Caucasian
357,Reject Before Interview,516,4,4,0.66,Female,Asian
358,Reject Before Interview,502,3.45,3.39,-1.4,Male,Asian
359,Reject Before Interview,494,2.97,3.49,-0.97,Female,African American
360,Reject After Interview,513,3.98,3.99,0.77,Male,White/Caucasian
361,Reject Before Interview,512,3.94,3.95,0.59,Female,White/Caucasian
362,Reject Before Interview,517,3.16,3.53,0.42,Female,Asian
363,Reject Before Interview,506,4,4,0.93,Female,Hispanic
364,Reject Before Interview,522,3.81,3.86,,Decline to Answer,Unreported
365,Reject Before Interview,508,3.95,3.95,-2,Female,White/Caucasian
366,Admitted,503,3.86,3.89,-1.56,Male,Hispanic
367,Reject Before Interview,490,3.33,3.47,-0.86,Female,Hispanic
368,Reject Before Interview,502,3.06,3.32,,Male,Hispanic
369,Reject Before Interview,506,3.83,3.85,1.18,Female,Asian
370,Reject Before Interview,518,3.59,3.7,0.5,Male,Unreported
371,Reject Before Interview,493,3.37,3.54,0.51,Female,Hispanic
372,Prelim Reject,494,2.28,2.39,,Male,African American
373,Reject Before Interview,483,3.08,3.38,-1.86,Female,African American
374,Reject Before Interview,504,3.68,3.6,-0.1,Female,White/Caucasian
375,Reject Before Interview,508,3.62,3.71,-1.68,Male,Asian
376,Reject Before Interview,512,3.82,3.85,0.15,Female,White/Caucasian
377,Reject Before Interview,496,3.9,3.94,1.07,Female,White/Caucasian
378,Admitted,518,3.88,3.9,0,Male,White/Caucasian
379,Reject Before Interview,502,3.86,3.85,,Male,White/Caucasian
380,Reject Before Interview,507,3.76,3.79,0.18,Male,White/Caucasian
381,Prelim Reject,490,3.43,3.62,,Female,African American
382,Admitted,508,3.91,3.95,0.23,Male,White/Caucasian
383,Reject Before Interview,499,3.89,3.81,-0.11,Male,White/Caucasian
384,Reject Before Interview,487,3.57,3.57,-0.01,Female,Hispanic
385,Reject Before Interview,505,3.07,3.39,,Male,Unreported
386,Reject Before Interview,507,3.3,3.33,0.43,Female,Asian
387,Reject Before Interview,497,4,4,,Female,White/Caucasian
388,Reject Before Interview,514,3.33,3.67,0.59,Male,White/Caucasian
389,Reject Before Interview,514,4,4,0.74,Male,Asian
390,Reject Before Interview,512,3.25,3.37,-0.36,Male,Asian
391,Reject Before Interview,502,3.17,3.18,0.43,Male,Hispanic
392,Reject Before Interview,484,2.84,3.25,-1.64,Female,Asian
393,Reject Before Interview,502,3.71,3.7,0,Male,White/Caucasian
394,Reject Before Interview,510,3.95,3.89,1,Male,White/Caucasian
395,Reject Before Interview,519,3.91,3.92,0.58,Female,Asian
396,Reject Before Interview,513,3.73,3.71,,Female,White/Caucasian
397,Offer Declined,519,4,4,2.32,Male,Asian
398,Reject Before Interview,483,3.82,3.87,0.34,Male,White/Caucasian
399,Reject Before Interview,506,3.61,3.29,,Male,American Indian
400,Reject Before Interview,497,3.66,3.65,,Male,African American
401,Withdrawn Through Match,513,3.82,3.88,0.88,Female,White/Caucasian
402,Reject Before Interview,508,3.14,3.6,-0.39,Male,Hispanic
403,Reject Before Interview,503,3.56,3.78,0.07,Male,White/Caucasian
404,Reject Before Interview,507,2.86,3.02,,Male,African American
405,Withdrawn Through Match,506,3.77,3.83,-1.06,Male,African American
406,Reject Before Interview,519,4,4,,Male,Hispanic
407,Reject After Interview,508,3.68,3.79,-0.11,Male,Hispanic
408,Reject Before Interview,486,3.2,3.38,,Female,Multiple
409,Withdrawn Through Match,515,3.96,3.97,-1.2,Male,White/Caucasian
410,Reject Before Interview,491,3.11,3.33,,Female,White/Caucasian
411,Reject Before Interview,495,3.69,3.8,-0.88,Female,Asian
412,Reject Before Interview,495,3.03,3.34,-0.57,Male,African American
413,Reject Before Interview,508,3.87,3.95,,Male,White/Caucasian
414,Reject Before Interview,506,3.75,3.81,0.75,Female,Asian
415,Reject Before Interview,502,3.26,3.55,,Male,Hispanic
416,Reject Before Interview,509,3.28,3.19,-1.3,Male,White/Caucasian
417,Reject Before Interview,514,4,3.96,-0.33,Male,White/Caucasian
