Random Unique Identifier,Admissions Decision,MCAT,GPA_Overall_Sci,Overall GPA,GPA_Grad_Total,Casper Score,Gender/Sex,Race/Ethnicity
6810,Rejected without Interview,508,4,4,0,-2.26,Female,Asian
6818,Rejected without Interview,520,4,4,4,-1.2,Male,Asian
6829,Rejected without Interview,502,4,4,,,Decline to Answer,Asian
6831,Withdrew Application Before Interview,526,4,4,,2.04,Male,Asian
6835,Rejected without Interview,516,4,4,,0.26,Male,White/Caucasian
6840,Rejected without Interview,514,4,4,,0.66,Male,Asian
6847,Offered Admissions-Matriculated,515,4,4,,0.51,Female,Asian
6852,Declined Admissions Offer,523,4,4,,1.45,Female,Asian
6856,Declined Admissions Offer,515,4,4,,0.51,Female,Hispanic
6864,Rejected without Interview,527,4,4,,1.16,Female,Unreported
6866,Withdrew Application After Interview,517,4,4,,-0.42,Female,White/Caucasian
6876,Offered Admissions-Matriculated,510,4,4,,-0.22,Female,Asian
6878,Declined Admissions Offer,521,4,4,,0.41,Male,Asian
6884,Rejected After Interviewer,512,4,4,,-0.37,Female,White/Caucasian
6885,Withdrew Application After Interview,523,4,4,,0.38,Female,Asian
6886,Rejected without Interview,506,4,4,,-0.9,Female,White/Caucasian
6904,Rejected without Interview,517,4,4,,1.09,Male,White/Caucasian
6907,Withdrew Application After Interview,522,4,4,,0,Female,Asian
6912,Declined Admissions Offer,520,4,4,,0.98,Female,Asian
6914,Declined Admissions Offer,516,4,4,,1.31,Male,Hispanic
6917,Withdrew Application After Interview,515,4,4,,0.88,Male,White/Caucasian
6920,Withdrew Application After Interview,520,4,4,,1.52,Female,White/Caucasian
6921,Withdrew Application After Interview,505,4,4,,-1.5,Female,Multiple
6935,Rejected without Interview,515,4,4,,-0.22,Male,Asian
6937,Declined Admissions Offer,523,4,4,,0.89,Male,Asian
6938,Rejected without Interview,516,4,4,,0.15,Male,White/Caucasian
6939,Declined Admissions Offer,517,4,4,,1.06,Female,Asian
6942,Rejected without Interview,522,4,4,,-0.42,Female,White/Caucasian
6943,Offered Admissions-Matriculated,512,4,4,,1.69,Female,Asian
6965,Declined Admissions Offer,523,4,4,,1.38,Female,Asian
6969,Declined Admissions Offer,524,4,4,,1.6,Female,Asian
6989,Declined Admissions Offer,525,4,4,,0.15,Male,Asian
6990,Offered Admissions-Matriculated,512,4,4,,0.66,Female,White/Caucasian
6994,Rejected without Interview,517,4,4,,0.59,Male,Asian
6996,Declined Admissions Offer,520,4,4,,1.28,Male,White/Caucasian
7000,Withdrew Application After Interview,523,4,4,,-0.34,Male,Asian
7020,Declined Admissions Offer,520,4,4,,0,Female,Asian
7032,Withdrew Application After Interview,518,4,4,,-0.63,Female,White/Caucasian
7042,Offered Admissions-Matriculated,516,4,4,,-0.53,Female,Hispanic
7049,Rejected without Interview,515,4,4,,0.88,Female,White/Caucasian
7057,Declined Admissions Offer,518,4,4,,1.13,Male,White/Caucasian
7086,Withdrew Application After Interview,511,4,4,,-0.15,Male,Asian
7101,Rejected without Interview,504,4,4,,0.51,Female,White/Caucasian
7104,Rejected without Interview,514,,4,,-0.03,Male,Asian
7118,Rejected without Interview,511,4,4,,0.42,Male,Asian
7119,Withdrew Application After Interview,521,4,4,,-0.37,Male,Asian
7124,Declined Admissions Offer,519,4,4,,-0.23,Female,White/Caucasian
7128,Rejected without Interview,524,4,4,,-0.62,Male,White/Caucasian
7133,Declined Admissions Offer,522,4,4,,1.52,Male,Asian
7140,Rejected without Interview,515,4,4,,0.74,Female,Asian
7145,Declined Admissions Offer,525,4,4,,0.81,Female,Asian
7146,Declined Admissions Offer,521,4,4,,1.67,Female,Unreported
7151,Alternate Pool/Waitlist,525,4,4,,-0.25,Male,Asian
7153,Rejected without Interview,513,4,4,,-0.69,Female,White/Caucasian
7156,Rejected without Interview,508,4,4,,0.3,Female,White/Caucasian
7182,Declined Admissions Offer,521,4,4,,0.28,Male,White/Caucasian
7189,Offered Admissions-Matriculated,510,4,4,,0.81,Male,White/Caucasian
7191,Rejected without Interview,508,4,4,,0.45,Male,White/Caucasian
7195,Declined Admissions Offer,517,4,4,,1.67,Female,Asian
7208,Withdrew Application After Interview,513,4,4,,1.11,Male,White/Caucasian
7210,Rejected without Interview,503,4,4,,-1.28,Male,White/Caucasian
7222,Declined Admissions Offer,517,4,4,,1.13,Female,Multiple
7223,Rejected without Interview,518,4,4,,0.22,Male,Asian
7232,Declined Admissions Offer,518,4,4,,1.5,Male,Asian
7245,Declined Admissions Offer,526,4,4,,2.53,Male,Asian
7249,Rejected without Interview,515,4,4,,-0.66,Male,White/Caucasian
7251,Rejected without Interview,521,4,4,,,Male,White/Caucasian
7255,Rejected without Interview,517,4,4,,0.63,Male,Hispanic
7267,Rejected without Interview,516,4,4,,0.51,Female,Asian
7268,Rejected without Interview,516,4,4,,-2.73,Female,White/Caucasian
7269,Rejected without Interview,506,4,4,,0.01,Female,Asian
7277,Rejected without Interview,516,4,4,,0.19,Male,White/Caucasian
7282,Rejected without Interview,502,4,4,,-0.72,Female,White/Caucasian
7284,Rejected without Interview,526,4,4,,-0.49,Male,Asian
7292,Rejected without Interview,513,4,4,,-0.27,Female,Multiple
7295,Withdrew Application After Interview,517,4,4,,1.84,Female,White/Caucasian
7304,Withdrew Application After Interview,522,4,4,,0.43,Male,Multiple
7305,Withdrew Application Before Interview,522,4,4,,0.37,Male,Asian
7307,Rejected without Interview,524,4,4,,0.94,Male,White/Caucasian
7323,Rejected without Interview,516,4,4,,1.75,Female,White/Caucasian
7338,Declined Admissions Offer,520,4,4,,1.02,Male,White/Caucasian
7356,Withdrew Application After Interview,520,4,4,,0.59,Male,Asian
7372,Withdrew Application After Interview,519,4,4,,1.09,Male,Asian
7378,Declined Admissions Offer,515,4,4,,1.74,Female,Asian
7385,Rejected without Interview,516,4,4,,0.73,Male,Asian
7398,Rejected without Interview,499,4,4,,-0.09,Female,Asian
7406,Declined Admissions Offer,514,4,4,,0.74,Male,Asian
7408,Withdrew Application After Interview,518,4,4,,0.24,Male,White/Caucasian
7412,Rejected without Interview,512,4,4,,-0.59,Male,White/Caucasian
7414,Withdrew Application After Interview,506,4,4,,-1.34,Male,Hispanic
7416,Rejected without Interview,516,4,4,,0.43,Female,White/Caucasian
7427,Declined Admissions Offer,523,4,4,,-0.18,Female,Asian
7445,Withdrew Application After Interview,516,4,4,,0.86,Female,White/Caucasian
7456,Rejected without Interview,518,4,4,,-0.22,Female,Asian
7457,Withdrew Application After Interview,516,4,4,,0.66,Male,Asian
7460,Declined Admissions Offer,517,4,4,,0.15,Female,Hispanic
7468,Rejected without Interview,511,4,4,,2.37,Male,Asian
7470,Declined Admissions Offer,522,4,4,,-0.56,Male,White/Caucasian
7471,Rejected without Interview,509,4,4,,0.35,Male,Asian
7482,Rejected without Interview,521,4,4,,,Female,Asian
7491,Withdrew Application After Interview,513,4,4,,0.81,Female,Asian
7492,Withdrew Application Before Interview,519,4,4,,,Female,Asian
7493,Declined Admissions Offer,523,4,4,,1.78,Male,White/Caucasian
7494,Rejected without Interview,517,4,4,,2.6,Male,Asian
7498,Rejected without Interview,516,4,4,,0.66,Female,Asian
7500,Rejected without Interview,522,4,4,,0.19,Female,White/Caucasian
7502,Rejected without Interview,505,4,4,,,Female,Asian
7505,Rejected without Interview,517,4,4,,1.16,Male,Asian
7507,Rejected without Interview,510,4,4,,-0.88,Male,White/Caucasian
7514,Withdrew Application After Interview,515,4,4,,0.08,Female,Asian
7516,Rejected without Interview,511,4,4,,0.44,Male,Asian
7526,Declined Admissions Offer,519,4,4,,1.38,Female,Asian
7533,Rejected without Interview,517,4,4,,0.15,Female,Asian
7550,Withdrew Application After Interview,514,4,4,,0.66,Female,White/Caucasian
7555,Declined Admissions Offer,514,4,4,,1.24,Male,White/Caucasian
7556,Rejected without Interview,501,4,4,,0.71,Female,Asian
7560,Withdrew Application After Interview,521,4,4,,-0.81,Male,Unreported
7566,Offered Admissions-Matriculated,510,4,4,,0.22,Female,Asian
7576,Rejected without Interview,512,4,4,,0.59,Male,Asian
7578,Declined Admissions Offer,505,4,4,,0.56,Male,Hispanic
7581,Alternate Pool/Waitlist,512,4,4,,1.13,Male,White/Caucasian
7586,Withdrew Application After Interview,518,4,4,,0.24,Male,White/Caucasian
7604,Withdrew Application Before Interview,516,4,4,,0.79,Female,Asian
7622,Rejected without Interview,505,4,4,,1.16,Female,White/Caucasian
7623,Rejected without Interview,511,4,4,,0.95,Female,Multiple
7655,Rejected without Interview,514,4,4,,0.66,Male,White/Caucasian
7659,Offered Admissions-Matriculated,517,4,4,,0.42,Male,Unreported
7661,Withdrew Application After Interview,520,4,4,,0.22,Male,Asian
7674,Declined Admissions Offer,523,4,4,,1.35,Female,Asian
7676,Rejected without Interview,510,4,4,,-0.09,Male,Asian
7677,Rejected without Interview,516,4,4,,1.25,Male,White/Caucasian
7692,Declined Admissions Offer,522,4,4,,0.69,Female,Asian
7713,Declined Admissions Offer,513,4,4,,1.61,Male,Asian
7716,Declined Admissions Offer,521,4,4,,0.41,Female,Asian
7725,Withdrew Application After Interview,519,4,4,,-0.56,Female,Asian
7730,Declined Admissions Offer,522,4,4,,1.9,Male,Asian
7734,Rejected without Interview,506,4,4,,-2,Female,Hispanic
7736,Rejected without Interview,507,4,4,,0.58,Female,Multiple
7738,Rejected without Interview,512,4,4,,0.67,Female,Asian
7742,Withdrew Application After Interview,512,4,4,,0.26,Male,White/Caucasian
7747,Alternate Pool/Waitlist,508,4,4,,0.35,Female,White/Caucasian
7752,Withdrew Application After Interview,518,4,4,,0.81,Male,White/Caucasian
7764,Declined Admissions Offer,522,4,4,,0.66,Female,Asian
7771,Offered Admissions-Matriculated,513,4,4,,0.41,Female,Asian
7779,Declined Admissions Offer,520,4,4,,1.33,Female,African American
7784,Rejected without Interview,521,4,4,,,Male,White/Caucasian
7790,Rejected without Interview,517,4,4,,0.19,Male,White/Caucasian
7801,Declined Admissions Offer,520,4,4,,0.41,Male,Hispanic
7806,Rejected without Interview,500,4,4,,-0.15,Male,African American
7811,Offered Admissions-Matriculated,515,4,4,,0.79,Male,Asian
7816,Declined Admissions Offer,521,4,4,,1.68,Female,Asian
7848,Rejected without Interview,514,4,4,,,Female,Asian
7877,Rejected without Interview,514,4,4,,0.81,Female,Asian
7878,Withdrew Application After Interview,521,4,4,,1.12,Male,Asian
7889,Declined Admissions Offer,519,4,4,,1.35,Female,Asian
7905,Rejected without Interview,521,4,4,,1.51,Female,Hispanic
7912,Declined Admissions Offer,514,4,4,,-0.44,Female,Hispanic
7915,Declined Admissions Offer,523,4,4,,1.35,Female,White/Caucasian
7916,Rejected without Interview,519,4,4,,0.89,Male,White/Caucasian
7922,Rejected without Interview,512,4,4,,-0.48,Female,White/Caucasian
7955,Rejected without Interview,511,4,4,,-0.9,Male,Asian
7961,Rejected without Interview,526,4,4,,0.45,Male,Asian
7964,Withdrew Application After Interview,522,4,4,,1.09,Male,Asian
7970,Rejected without Interview,514,4,4,,-1.04,Male,White/Caucasian
7971,Rejected without Interview,508,4,4,,-0.2,Female,White/Caucasian
7982,Rejected without Interview,504,4,4,,0.26,Male,Asian
7984,Offered Admissions-Matriculated,504,4,4,,0.48,Female,Asian
7990,Rejected without Interview,519,4,4,,0.49,Male,White/Caucasian
7994,Declined Admissions Offer,515,4,4,,1.47,Female,Hispanic
8020,Rejected without Interview,513,4,4,,0.43,Female,White/Caucasian
8027,Rejected without Interview,515,4,4,,-0.28,Male,Hispanic
8055,Rejected without Interview,512,4,4,,0.53,Female,White/Caucasian
8056,Withdrew Application Before Interview,523,4,4,,1.38,Male,White/Caucasian
8076,Rejected without Interview,521,4,4,,-0.15,Female,Unreported
8077,Declined Admissions Offer,515,4,4,,0.65,Male,Unreported
8113,Rejected without Interview,518,4,4,,-0.56,Male,White/Caucasian
8125,Withdrew Application After Interview,519,4,4,,0.04,Male,Asian
8132,Withdrew Application After Interview,527,4,4,,0.69,Male,Multiple
8135,Rejected without Interview,521,4,4,,,Male,White/Caucasian
8137,Rejected without Interview,510,4,4,,-0.76,Female,Hispanic
8147,Rejected without Interview,503,4,4,,0.79,Female,Asian
8148,Rejected without Interview,519,4,4,,-0.11,Male,White/Caucasian
8149,Rejected without Interview,511,4,4,,0.59,Male,Asian
8156,Rejected without Interview,507,4,4,,-1.7,Female,White/Caucasian
8160,Offered Admissions-Matriculated,505,4,4,,-1.33,Female,White/Caucasian
8176,Rejected without Interview,506,4,4,,-0.03,Female,Unreported
8180,Declined Admissions Offer,522,4,4,,1.07,Male,White/Caucasian
8191,Rejected without Interview,520,4,4,,1.31,Male,Multiple
8197,Rejected without Interview,515,4,4,,-0.49,Female,Asian
8219,Rejected without Interview,515,4,4,,-1.27,Decline to Answer,White/Caucasian
8222,Rejected without Interview,487,4,4,,-1.16,Female,Hispanic
8234,Rejected without Interview,517,4,4,,1.37,Female,White/Caucasian
8251,Rejected without Interview,514,4,4,,0.42,Female,Asian
8259,Withdrew Application After Interview,513,4,4,,-0.7,Female,Asian
8282,Withdrew Application After Interview,514,4,4,,1.24,Male,Asian
8287,Declined Admissions Offer,522,4,4,,0.41,Male,Asian
8292,Declined Admissions Offer,526,4,4,,1.45,Male,Asian
8293,Declined Admissions Offer,520,4,4,,-0.44,Female,Asian
8299,Offered Admissions-Matriculated,517,4,4,,0.28,Male,White/Caucasian
8302,Declined Admissions Offer,525,4,4,,1.28,Female,Asian
8311,Withdrew Application Before Interview,517,4,4,,0.42,Female,Asian
8338,Rejected without Interview,514,4,4,,,Female,Unreported
8347,Rejected without Interview,511,4,4,,0.26,Male,White/Caucasian
8364,Declined Admissions Offer,507,4,4,,-0.73,Male,African American
8370,Declined Admissions Offer,526,4,4,,0.73,Male,White/Caucasian
8379,Offered Admissions-Matriculated,516,4,4,,0.2,Male,White/Caucasian
8387,Rejected without Interview,517,4,4,4,-0.57,Male,Asian
8404,Rejected without Interview,510,4,4,,-0.83,Female,White/Caucasian
8408,Rejected without Interview,512,4,4,,0.56,Female,Asian
8425,Rejected without Interview,505,4,4,,,Female,White/Caucasian
8429,Rejected without Interview,510,4,4,,-0.92,Male,Asian
8436,Rejected without Interview,511,4,4,,0.99,Male,White/Caucasian
8437,Declined Admissions Offer,519,4,4,,1.85,Female,Unreported
8457,Declined Admissions Offer,522,4,4,,-0.33,Male,Hispanic
8468,Rejected without Interview,523,4,4,,1.5,Male,Asian
8494,Rejected without Interview,513,4,4,,0.14,Female,White/Caucasian
8525,Withdrew Application After Interview,522,4,4,,-0.7,Female,White/Caucasian
8541,Rejected without Interview,512,4,4,,0.02,Male,Unreported
8542,Withdrew Application After Interview,524,4,4,,1.38,Male,Asian
8547,Rejected without Interview,516,4,4,,1.93,Female,White/Caucasian
8582,Declined Admissions Offer,509,4,4,,-0.65,Female,White/Caucasian
8591,Declined Admissions Offer,514,4,4,,1.97,Female,Asian
8632,Offered Admissions-Matriculated,519,4,4,,0.07,Male,Asian
8664,Rejected without Interview,513,4,4,,-0.52,Male,Asian
8685,Rejected without Interview,521,4,4,,1.57,Male,White/Caucasian
8687,Offered Admissions-Matriculated,512,4,4,4,-0.06,Female,White/Caucasian
8707,Rejected without Interview,517,4,4,,0.71,Female,White/Caucasian
8718,Declined Admissions Offer,522,4,4,,0.29,Male,Asian
8722,Rejected without Interview,519,4,4,4,,Male,White/Caucasian
8732,Declined Admissions Offer,520,4,4,,0.48,Female,Asian
8743,Declined Admissions Offer,526,4,4,,0.26,Female,Hispanic
8769,Declined Admissions Offer,525,4,4,,0.66,Female,Asian
8772,Rejected without Interview,510,4,4,,0.5,Female,White/Caucasian
8782,Rejected without Interview,513,4,4,,0.85,Male,White/Caucasian
8790,Alternate Pool/Waitlist,508,4,4,0,0.36,Female,Hispanic
8798,Rejected without Interview,508,4,4,,-0.57,Male,White/Caucasian
8803,Rejected without Interview,502,4,4,,-0.49,Male,White/Caucasian
8807,Rejected without Interview,507,4,4,,0.04,Female,Asian
8809,Withdrew Application After Interview,518,4,4,,0.7,Male,White/Caucasian
8815,Rejected without Interview,506,4,4,,0.75,Female,White/Caucasian
8825,Rejected without Interview,511,4,4,,-1.49,Female,Asian
8836,Offered Admissions-Matriculated,514,4,4,,0.88,Male,Asian
8847,Rejected without Interview,506,4,4,,0.08,Male,White/Caucasian
8858,Declined Admissions Offer,524,4,4,,1.35,Male,Hispanic
8876,Rejected without Interview,513,4,4,,0.43,Female,White/Caucasian
8884,Rejected without Interview,508,4,4,,0.44,Female,White/Caucasian
8899,Offered Admissions-Matriculated,520,4,4,,-0.88,Male,Multiple
8906,Rejected without Interview,508,4,4,,,Male,White/Caucasian
8911,Rejected without Interview,511,4,4,,0.93,Male,White/Caucasian
8917,Declined Admissions Offer,511,4,4,,1.1,Female,Multiple
8934,Rejected without Interview,512,4,4,,-1.2,Female,White/Caucasian
8935,Rejected without Interview,513,4,4,,0.75,Female,White/Caucasian
8949,Declined Admissions Offer,511,4,4,4,0.24,Female,White/Caucasian
8959,Rejected without Interview,508,4,4,,0.69,Male,White/Caucasian
8964,Rejected without Interview,524,4,4,,-0.03,Male,White/Caucasian
8974,Rejected without Interview,511,4,4,,-0.52,Male,White/Caucasian
8997,Withdrew Application Before Interview,487,4,4,,-1.49,Female,White/Caucasian
8999,Offered Admissions-Matriculated,504,4,4,,1.17,Male,Multiple
9005,Alternate Pool/Waitlist,512,4,4,,0.02,Female,Asian
9008,Rejected without Interview,510,4,4,,-0.73,Male,White/Caucasian
9018,Rejected without Interview,523,4,4,,0.26,Female,Asian
9035,Declined Admissions Offer,515,4,4,,3.22,Female,White/Caucasian
9045,Rejected without Interview,519,4,4,,0.73,Male,White/Caucasian
9052,Withdrew Application After Interview,511,4,4,,-0.9,Female,Hispanic
9066,Rejected without Interview,507,4,4,,0.56,Male,White/Caucasian
9070,Rejected without Interview,513,4,4,,0.5,Female,Asian
9090,Rejected without Interview,520,4,4,4,-2.39,Male,Multiple
9105,Rejected without Interview,506,4,4,,-2.12,Male,Multiple
9116,Rejected without Interview,514,4,4,,0.86,Female,Unreported
9125,Rejected without Interview,516,4,4,,-0.28,Male,Asian
9129,Rejected without Interview,517,4,4,,0.67,Female,White/Caucasian
9131,Declined Admissions Offer,509,4,4,,0.04,Female,Asian
9140,Rejected without Interview,522,4,4,,,Male,White/Caucasian
9149,Rejected without Interview,515,4,4,,,Female,White/Caucasian
9185,Rejected without Interview,515,4,4,,0.43,Female,White/Caucasian
9191,Withdrew Application After Interview,521,4,4,,-0.07,Male,Asian
9219,Withdrew Application After Interview,512,4,4,,-0.76,Female,Hispanic
9249,Rejected without Interview,492,4,4,,-2.14,Male,African American
9254,Rejected without Interview,509,4,4,,0.08,Female,White/Caucasian
9265,Rejected without Interview,519,4,4,,,Female,Unreported
9279,Declined Admissions Offer,523,4,4,,1.81,Male,Asian
9302,Rejected without Interview,512,4,4,,0.83,Female,Unreported
9308,Rejected without Interview,522,4,4,,-0.43,Male,White/Caucasian
9348,Rejected without Interview,501,4,4,,-0.14,Female,White/Caucasian
9354,Rejected without Interview,507,4,4,,0.12,Female,Asian
9361,Declined Admissions Offer,525,4,4,,1.28,Male,Asian
9371,Rejected without Interview,497,4,4,,-0.88,Female,White/Caucasian
9387,Withdrew Application After Interview,513,4,4,,-1.02,Male,White/Caucasian
9394,Rejected without Interview,512,4,4,,1.37,Male,White/Caucasian
9410,Rejected without Interview,518,4,4,,0.75,Female,White/Caucasian
9425,Rejected without Interview,515,4,4,,-1.53,Female,Multiple
9439,Rejected without Interview,515,4,4,,-1.33,Female,Asian
9444,Rejected without Interview,513,4,4,,-1.15,Male,Asian
9454,Declined Admissions Offer,514,4,4,,0.54,Female,Asian
9474,Rejected without Interview,,4,4,,,Male,White/Caucasian
9530,Withdrew Application After Interview,518,4,4,,1.14,Male,White/Caucasian
9537,Rejected without Interview,513,4,4,,-0.12,Male,Unreported
9539,Rejected After Interviewer,510,4,4,,-1.33,Male,Hispanic
9542,Rejected without Interview,511,4,4,,1.31,Male,Asian
9600,Rejected without Interview,493,4,4,,-1.44,Female,White/Caucasian
9612,Rejected without Interview,516,4,4,,-0.85,Male,Asian
9613,Alternate Pool/Waitlist,513,4,4,,-0.15,Male,Asian
9629,Rejected without Interview,521,4,4,,,Female,Asian
9640,Rejected without Interview,509,4,4,,0.41,Female,White/Caucasian
9658,Rejected without Interview,513,4,4,,0.03,Female,Multiple
9666,Withdrew Application After Interview,517,4,4,,0.33,Male,Asian
9681,Rejected without Interview,518,4,4,,,Female,African American
9682,Rejected without Interview,511,4,4,,-0.07,Male,Asian
9690,Rejected without Interview,500,4,4,,-1.06,Female,Unreported
9702,Rejected without Interview,506,4,4,,-0.65,Female,White/Caucasian
9705,Withdrew Application After Interview,513,4,4,,0.73,Female,White/Caucasian
9733,Withdrew Application After Interview,522,4,4,,0.99,Male,White/Caucasian
9754,Rejected without Interview,508,4,4,,0.09,Female,White/Caucasian
9759,Rejected without Interview,522,4,4,,0.11,Male,White/Caucasian
9807,Rejected without Interview,520,4,4,,,Female,White/Caucasian
9839,Rejected without Interview,503,4,4,,0.6,Female,White/Caucasian
9841,Rejected without Interview,505,4,4,,0.36,Male,White/Caucasian
9842,Alternate Pool/Waitlist,505,4,4,,0.03,Female,Hispanic
9867,Declined Admissions Offer,519,4,4,,2.32,Male,Asian
9897,Rejected without Interview,521,4,4,,0.82,Male,White/Caucasian
9909,Withdrew Application Before Interview,508,4,4,,-0.06,Female,White/Caucasian
9918,Offered Admissions-Matriculated,521,4,4,,-0.65,Male,White/Caucasian
9926,Rejected without Interview,501,4,4,,-0.34,Male,White/Caucasian
9933,Rejected without Interview,503,4,4,,-1.14,Female,White/Caucasian
9945,Rejected without Interview,514,4,4,,0.17,Female,Asian
9984,Rejected without Interview,515,4,4,,-0.99,Male,Asian
9993,Alternate Pool/Waitlist,508,4,4,,0.74,Female,Hispanic
10008,Rejected without Interview,502,4,4,,-1.8,Male,Hispanic
10030,Declined Admissions Offer,513,4,4,,0.87,Male,Hispanic
10038,Rejected without Interview,505,4,4,,-1.28,Female,Hispanic
10066,Rejected without Interview,506,4,4,,-0.52,Male,White/Caucasian
