Random Unique Identifier,Admissions Decision,MCAT,GPA_Overall_Sci,Overall GPA,GPA_Grad_Total,Casper Score,Gender/Sex,Race/Ethnicity
1050,Rejected without Interview,514,4,4,,0.06,Male,White/Caucasian
1051,Declined Admissions Offer,522,4,4,,0.26,Female,Asian
1077,Declined Admissions Offer,523,4,4,,0.78,Male,Asian
1089,Offered Admissions-Matriculated,516,4,4,,0.18,Female,Asian
1115,Rejected without Interview,512,4,4,,-1.22,Female,White/Caucasian
1147,Withdrew Application After Interview,521,4,4,,0.78,Male,White/Caucasian
1148,Withdrew Application Before Interview,521,4,4,,-0.99,Male,Hispanic
1152,Rejected without Interview,518,4,4,,0.05,Male,Asian
1153,Rejected without Interview,512,4,4,,-0.41,Female,Asian
1155,Rejected without Interview,516,4,4,,0.83,Male,White/Caucasian
1180,Declined Admissions Offer,518,4,4,,0.12,Female,African American
1184,Rejected without Interview,524,4,4,,-0.07,Male,Asian
1188,Declined Admissions Offer,522,4,4,,0.54,Male,Asian
1193,Rejected without Interview,519,4,4,,0.78,Female,Asian
1205,Offered Admissions-Matriculated,517,4,4,,1.27,Female,White/Caucasian
1209,Rejected without Interview,513,4,4,,0.39,Male,White/Caucasian
1214,Rejected without Interview,509,4,4,,-0.4,Female,Unreported
1218,Rejected without Interview,515,4,4,,-0.05,Male,Asian
1222,Rejected without Interview,513,4,4,,-0.28,Female,White/Caucasian
1224,Withdrew Application After Interview,519,4,4,,-0.75,Male,White/Caucasian
1226,Declined Admissions Offer,525,4,4,,1.63,Male,Asian
1238,Withdrew Application After Interview,515,4,4,,-0.11,Female,White/Caucasian
1242,Rejected without Interview,521,4,4,,,Male,White/Caucasian
1253,Rejected without Interview,509,4,4,,-0.15,Female,White/Caucasian
1254,Rejected without Interview,502,4,4,,,Female,Asian
1269,Withdrew Application After Interview,506,4,4,,-0.15,Male,Hispanic
1292,Withdrew Application After Interview,503,4,4,,-1.41,Female,Hispanic
1303,Rejected without Interview,516,4,4,,0.11,Male,White/Caucasian
1306,Rejected without Interview,521,4,4,,1.19,Female,Asian
1331,Rejected without Interview,512,4,4,,-0.95,Male,White/Caucasian
1335,Rejected without Interview,501,4,4,,0.26,Female,White/Caucasian
1377,Declined Admissions Offer,518,4,4,,0.76,Male,Asian
1391,Rejected without Interview,512,4,4,4,-1.15,Female,Asian
1426,Rejected without Interview,525,4,4,,0.91,Male,Asian
1437,Rejected without Interview,505,4,4,,-0.44,Female,Asian
1451,Withdrew Application Before Interview,522,4,4,,0.26,Female,Asian
1466,Offered Admissions-Matriculated,509,4,4,,-0.35,Male,White/Caucasian
1467,Rejected without Interview,515,4,4,,-0.68,Female,Asian
1470,Rejected without Interview,516,4,4,,0.69,Female,Asian
1476,Rejected without Interview,520,4,4,,,Female,Asian
1478,Declined Admissions Offer,515,4,4,,-0.52,Female,Hispanic
1500,Declined Admissions Offer,519,4,4,,1.45,Female,Asian
1501,Rejected without Interview,513,4,4,,1.33,Male,Asian
1504,Declined Admissions Offer,520,4,4,,2.2,Female,Asian
1512,Declined Admissions Offer,523,4,4,,1.33,Female,Asian
1525,Rejected without Interview,526,4,4,,-0.37,Male,White/Caucasian
1544,Withdrew Application After Interview ,523,4,4,,1.65,Female,White/Caucasian
1554,Declined Admissions Offer,518,4,4,,0.94,Male,Asian
1580,Declined Admissions Offer,525,4,4,,-0.2,Male,White/Caucasian
1588,Declined Admissions Offer,516,4,4,,0.95,Female,Asian
1622,Rejected without Interview,513,4,4,,-0.72,Male,White/Caucasian
1631,Declined Admissions Offer,523,4,4,,0.85,Female,Asian
1635,Rejected without Interview,515,4,4,,-1.41,Female,White/Caucasian
1639,Declined Admissions Offer,519,4,4,,0.45,Male,White/Caucasian
1654,Withdrew Application After Interview,516,4,4,,-0.57,Female,Asian
1655,Declined Admissions Offer,519,4,4,,-0.32,Female,Asian
1656,Declined Admissions Offer,527,4,4,,0.34,Female,White/Caucasian
1661,Offered Admissions-Matriculated,525,4,4,,0.94,Female,White/Caucasian
1674,Declined Admissions Offer,525,4,4,4,0.02,Male,White/Caucasian
1676,Rejected without Interview,511,4,4,,-1.06,Female,Asian
1680,Withdrew Application Before Interview,512,4,4,,0.61,Female,African American
1704,Declined Admissions Offer,513,4,4,,-0.48,Male,Hispanic
1705,Rejected without Interview,508,4,4,,-0.15,Male,Asian
1709,Rejected without Interview,512,4,4,,0.67,Female,Asian
1718,Rejected without Interview,526,4,4,,-0.28,Male,Asian
1722,Rejected without Interview,520,4,4,,0.78,Female,Asian
1725,Offered Admissions-Matriculated,519,4,4,,1.11,Male,White/Caucasian
1732,Rejected without Interview,514,4,4,,-0.52,Female,Hispanic
1737,Rejected without Interview,516,4,4,,-1.22,Male,Asian
1748,Rejected without Interview,517,4,4,,1.74,Male,Asian
1755,Rejected without Interview,512,4,4,,0.83,Female,Asian
1767,Rejected without Interview,512,4,4,,-1.71,Female,Asian
1789,Rejected without Interview,515,4,4,,1.33,Male,White/Caucasian
1811,Rejected without Interview,513,4,4,,0.21,Male,White/Caucasian
1817,Rejected without Interview,520,4,4,,-0.32,Female,White/Caucasian
1826,Alternate Pool/Waitlist,509,4,4,,1.81,Female,Asian
1835,Declined Admissions Offer,524,4,4,,2.13,Male,Asian
1841,Rejected without Interview,517,4,4,,0.42,Female,Asian
1843,Rejected without Interview,504,4,4,,0.26,Male,Asian
1845,Rejected without Interview,514,4,4,,-0.99,Male,White/Caucasian
1849,Rejected without Interview,511,4,4,,-0.11,Male,Hispanic
1854,Declined Admissions Offer,522,4,4,,1.16,Male,Asian
1856,Declined Admissions Offer,524,4,4,,0.37,Female,Asian
1860,Rejected without Interview,522,4,4,,-1.88,Male,White/Caucasian
1865,Rejected without Interview,515,4,4,,-1.47,Female,Asian
1882,Offered Admissions-Matriculated,511,4,4,,-0.75,Male,Asian
1891,Rejected without Interview,519,4,4,,-0.56,Male,Asian
1911,Alternate Pool/Waitlist,509,4,4,,0.86,Female,Asian
1918,Withdrew Application After Interview,522,4,4,,-0.11,Male,White/Caucasian
1924,Declined Admissions Offer,523,4,4,,2.61,Female,White/Caucasian
1935,Declined Admissions Offer,522,4,4,,0.45,Female,Asian
1941,Rejected without Interview,513,4,4,,0.04,Male,White/Caucasian
1957,Declined Admissions Offer,524,4,4,,0.42,Female,Asian
1964,Rejected without Interview,515,4,4,,0.42,Male,Asian
1965,Rejected without Interview,514,4,4,,-0.23,Male,Asian
1968,Rejected without Interview,523,4,4,,0.42,Female,White/Caucasian
2003,Rejected without Interview,519,4,4,,-0.25,Female,Asian
2020,Declined Admissions Offer,511,4,4,,0.39,Female,African American
2027,Withdrew Application After Interview,523,4,4,,1.15,Male,Asian
2053,Rejected without Interview,508,4,4,,-0.57,Female,White/Caucasian
2068,Withdrew Application After Interview,513,4,4,,1.54,Female,Asian
2070,Rejected without Interview,519,4,4,,,Male,White/Caucasian
2071,Rejected without Interview,519,4,4,,0.39,Female,White/Caucasian
2074,Rejected without Interview,516,4,4,,-1.07,Male,White/Caucasian
2088,Alternate Pool/Waitlist,505,4,4,,0.21,Female,Multiple
2097,Withdrew Application After Interview,515,4,4,,-0.75,Male,Hispanic
2113,Rejected without Interview,508,4,4,,-0.72,Female,Unreported
2127,Rejected without Interview,507,4,4,,0.58,Female,Multiple
2129,Rejected without Interview,513,4,4,,0.14,Female,White/Caucasian
2178,Withdrew Application Before Interview,524,4,4,4,-0.28,Male,White/Caucasian
2186,Withdrew Application After Interview,518,4,4,,0.45,Female,Asian
2201,Rejected without Interview,524,4,4,,-0.59,Male,Asian
2224,Rejected without Interview,509,4,4,,-1.14,Male,White/Caucasian
2226,Rejected without Interview,511,4,4,,1.31,Male,Asian
2257,Rejected without Interview,516,4,4,,-0.19,Male,White/Caucasian
2258,Withdrew Application After Interview,517,4,4,,0.05,Female,Asian
2273,Rejected without Interview,510,4,4,,-0.65,Female,Asian
2302,Rejected without Interview,516,4,4,,0.22,Male,Unreported
2327,Withdrew Application Before Interview,524,4,4,,1.26,Male,Unreported
2354,Withdrew Application After Interview,520,4,4,,1.07,Male,White/Caucasian
2363,Rejected without Interview,513,4,4,,0.28,Male,White/Caucasian
2364,Rejected without Interview,500,4,4,,-1.06,Female,White/Caucasian
2367,Rejected without Interview,515,4,4,,-0.14,Female,Asian
2400,Offered Admissions-Matriculated,517,4,4,,2.04,Male,Asian
2430,Withdrew Application After Interview,512,4,4,,-0.65,Male,White/Caucasian
2437,Declined Admissions Offer,522,4,4,,1.04,Male,Unreported
2441,Rejected without Interview,523,4,4,,2.46,Female,White/Caucasian
2448,Rejected without Interview,510,4,4,,-0.99,Male,White/Caucasian
2461,Rejected without Interview,514,4,4,,0.26,Male,White/Caucasian
2493,Rejected without Interview,504,4,4,,-0.16,Female,Hispanic
2494,Alternate Pool/Waitlist,517,4,4,,0.52,Male,Asian
2497,Offered Admissions-Matriculated,512,4,4,,0.61,Male,Asian
2506,Withdrew Application After Interview,518,4,4,,0.26,Female,White/Caucasian
2510,Alternate Pool/Waitlist,508,4,4,,0.42,Female,Hispanic
2514,Declined Admissions Offer,517,4,4,,0.91,Female,Asian
2521,Rejected without Interview,505,4,4,,1.03,Female,White/Caucasian
2531,Rejected without Interview,509,4,4,,-1.12,Male,White/Caucasian
2545,Rejected without Interview,521,4,4,,0.75,Male,White/Caucasian
2558,Offered Admissions-Matriculated,511,4,4,,0.78,Female,White/Caucasian
2569,Rejected without Interview,522,4,4,,0.23,Male,White/Caucasian
2578,Rejected without Interview,509,4,4,,-1.04,Female,White/Caucasian
2610,Alternate Pool/Waitlist,510,4,4,,-0.23,Female,Hispanic
2615,Rejected without Interview,507,4,4,,0.43,Female,White/Caucasian
2619,Rejected without Interview,517,4,4,,,Female,White/Caucasian
2623,Rejected without Interview,517,4,4,,-0.31,Male,White/Caucasian
2640,Declined Admissions Offer,519,4,4,,0.04,Female,Asian
2657,Rejected without Interview,515,4,4,,-0.14,Female,Asian
2682,Rejected without Interview,509,4,4,,-0.25,Female,White/Caucasian
2696,Rejected without Interview,519,4,4,,-1.07,Male,White/Caucasian
2701,Rejected without Interview,517,4,4,,0.21,Male,White/Caucasian
2704,Rejected without Interview,514,4,4,,-0.25,Female,Asian
2726,Rejected without Interview,520,4,4,,0.11,Male,Asian
2731,Alternate Pool/Waitlist,513,4,4,,0.13,Male,White/Caucasian
2743,Rejected without Interview,505,4,4,,1.21,Male,White/Caucasian
2745,Withdrew Application Before Interview,522,4,4,,0.54,Male,White/Caucasian
2754,Rejected without Interview,,4,4,,-0.95,Male,Asian
2755,Declined Admissions Offer,517,4,4,,1.17,Male,White/Caucasian
2776,Rejected without Interview,526,4,4,,1.7,Male,White/Caucasian
2794,Withdrew Application After Interview,512,4,4,,-0.23,Male,Hispanic
2812,Withdrew Application Before Interview,514,4,4,,0.66,Female,White/Caucasian
2827,Rejected without Interview,511,4,4,,-0.87,Male,White/Caucasian
2834,Rejected without Interview,509,4,4,,0.36,Female,White/Caucasian
2866,Declined Admissions Offer,509,4,4,,1.97,Female,African American
2867,Rejected without Interview,519,4,4,,0.09,Male,Multiple
2877,Rejected without Interview,523,4,4,,0.04,Female,Asian
2880,Declined Admissions Offer,522,4,4,,0.91,Male,Hispanic
2898,Rejected without Interview,521,4,4,,0.01,Male,Asian
2906,Rejected without Interview,522,4,4,,-0.2,Male,Asian
2907,Rejected without Interview,515,4,4,,0.36,Female,Asian
2910,Rejected without Interview,510,4,4,,-1.06,Female,Asian
2939,Rejected without Interview,507,4,4,,0.21,Female,Unreported
2953,Rejected without Interview,516,4,4,,-0.07,Male,Asian
2959,Rejected without Interview,511,4,4,,0.83,Male,White/Caucasian
2987,Rejected without Interview,520,4,4,,,Female,Unreported
2992,Rejected without Interview,519,4,4,,-0.89,Male,White/Caucasian
3001,Rejected without Interview,522,4,4,,0.26,Male,Asian
3006,Rejected without Interview,494,4,4,,-0.43,Female,Asian
3021,Declined Admissions Offer,503,4,4,,-0.2,Female,African American
3024,Declined Admissions Offer,517,4,4,,1.11,Female,Multiple
3026,Rejected without Interview,518,4,4,,0.09,Male,White/Caucasian
3027,Rejected without Interview,519,4,4,,0.44,Male,Unreported
3031,Rejected without Interview,508,4,4,,0.04,Female,White/Caucasian
3051,Rejected without Interview,,4,4,,0.56,Male,Hispanic
3066,Rejected without Interview,511,4,4,,-0.8,Female,White/Caucasian
3071,Withdrew Application After Interview,514,4,4,,0.3,Female,White/Caucasian
3077,Rejected without Interview,513,4,4,,-0.41,Female,White/Caucasian
3078,Rejected without Interview,516,4,4,,0.96,Female,White/Caucasian
3104,Rejected without Interview,518,4,4,4,-1.22,Male,White/Caucasian
3108,Rejected without Interview,506,4,4,,-1.39,Male,White/Caucasian
3129,Rejected without Interview,524,4,4,,0.19,Male,Asian
3145,Rejected without Interview,523,4,4,,-0.81,Male,White/Caucasian
3157,Rejected without Interview,516,4,4,,-0.04,Female,Asian
3175,Rejected without Interview,513,4,4,,0.88,Male,White/Caucasian
3228,Declined Admissions Offer,520,4,4,,-0.23,Female,White/Caucasian
3232,Declined Admissions Offer,520,4,4,,1.47,Male,White/Caucasian
3236,Rejected without Interview,526,4,4,,0.33,Male,White/Caucasian
3245,Rejected without Interview,521,4,4,,1.82,Male,Asian
3249,Rejected without Interview,506,4,4,,-0.75,Female,Hispanic
3252,Rejected without Interview,511,4,4,,0.01,Male,White/Caucasian
3259,Declined Admissions Offer,520,4,4,,1.61,Male,Asian
3276,Rejected without Interview,496,4,4,,-0.5,Female,Asian
3292,Withdrew Application After Interview,521,4,4,,1.15,Male,White/Caucasian
3311,Rejected without Interview,511,4,4,,-0.28,Male,Multiple
3335,Rejected without Interview,,4,4,,-1.02,Male,Hispanic
3339,Rejected without Interview,522,4,4,,2.11,Male,Asian
3353,Rejected without Interview,504,4,4,,-0.88,Male,White/Caucasian
3383,Rejected without Interview,521,4,4,,0.28,Female,White/Caucasian
3418,Offered Admissions-Matriculated,508,4,4,,-0.09,Female,Hispanic
3431,Rejected without Interview,519,4,4,,0.49,Male,White/Caucasian
3442,Rejected without Interview,520,4,4,,,Male,White/Caucasian
3448,Rejected without Interview,520,4,4,,,Male,White/Caucasian
3458,Declined Admissions Offer,518,4,4,,2.45,Male,Asian
3470,Rejected without Interview,511,4,4,,-0.33,Male,White/Caucasian
3510,Rejected without Interview,510,4,4,,-1.49,Female,White/Caucasian
3513,Rejected without Interview,511,4,4,,-0.99,Female,White/Caucasian
3521,Declined Admissions Offer,506,4,4,,-0.11,Female,Hispanic
3530,Rejected without Interview,518,4,4,,-0.29,Female,White/Caucasian
3535,Rejected without Interview,525,4,4,,-0.33,Male,Asian
3536,Rejected without Interview,517,4,4,,1.17,Female,White/Caucasian
3542,Declined Admissions Offer,510,4,4,,-0.04,Female,Hispanic
3562,Rejected without Interview,515,4,4,,0.69,Female,Multiple
3585,Rejected without Interview,508,4,4,,,Male,White/Caucasian
3595,Offered Admissions-Matriculated,509,4,4,,1.19,Female,Asian
3600,Rejected without Interview,519,4,4,,,Female,Asian
3617,Rejected without Interview,521,4,4,,,Male,Asian
3620,Offered Admissions-Matriculated,508,4,4,,-1.24,Male,Hispanic
3628,Rejected without Interview,506,4,4,,0.04,Female,Asian
3631,Rejected without Interview,525,4,4,,2.02,Male,White/Caucasian
3659,Rejected without Interview,524,4,4,,1.5,Female,Asian
3677,Rejected without Interview,516,4,4,,-1.06,Female,Asian
3701,Rejected without Interview,511,4,4,,0.99,Male,White/Caucasian
3732,Rejected without Interview,520,4,4,,0.12,Male,White/Caucasian
3767,Rejected without Interview,509,4,4,,-1.38,Male,Asian
3770,Rejected without Interview,514,4,4,,0.47,Female,White/Caucasian
3809,Rejected without Interview,506,4,4,,-0.24,Female,White/Caucasian
3860,Rejected without Interview,516,4,4,,0.84,Female,White/Caucasian
3867,Rejected without Interview,519,4,4,,1.85,Female,Asian
3906,Declined Admissions Offer,510,4,4,,0.2,Male,White/Caucasian
3909,Rejected without Interview,511,4,4,,-0.73,Male,White/Caucasian
3943,Rejected without Interview,504,4,4,,-0.01,Female,African American
3944,Rejected without Interview,523,4,4,,-0.45,Male,White/Caucasian
3959,Rejected without Interview,517,4,4,,-0.44,Female,Unreported
3991,Rejected without Interview,513,4,4,,0.45,Female,Unreported
3992,Rejected without Interview,520,4,4,,-1.08,Male,White/Caucasian
3999,Rejected without Interview,523,4,4,,2.13,Female,Unreported
4036,Rejected without Interview,513,4,4,,-1.3,Male,White/Caucasian
4048,Rejected without Interview,516,4,4,,0.22,Female,Asian
4059,Withdrew Application After Interview,520,4,4,,0.27,Female,Asian
4116,Rejected without Interview,505,4,4,,0.4,Female,White/Caucasian
4123,Rejected without Interview,518,4,4,,-0.2,Female,White/Caucasian
4143,Rejected without Interview,511,4,4,,0.28,Female,Hispanic
4145,Rejected without Interview,519,4,4,,0.24,Female,White/Caucasian
4146,Rejected without Interview,519,4,4,,0.59,Male,White/Caucasian
4149,Rejected without Interview,,4,4,,-0.65,Female,White/Caucasian
4170,Offered Admissions-Matriculated,510,4,4,,-0.29,Male,White/Caucasian
4204,Rejected without Interview,525,4,4,,,Male,White/Caucasian
4207,Withdrew Application After Interview,512,4,4,,0.47,Male,Hispanic
4241,Rejected without Interview,501,4,4,,0.49,Female,Hispanic
4255,Rejected without Interview,515,4,4,,0.44,Female,Asian
4265,Offered Admissions-Matriculated,512,4,4,,-0.11,Male,White/Caucasian
4309,Rejected without Interview,516,4,4,,-0.33,Male,Hispanic
4312,Rejected without Interview,512,4,4,,1.59,Female,White/Caucasian
4331,Rejected without Interview,509,4,4,,-1.62,Female,White/Caucasian
4353,Withdrew Application After Interview,508,4,4,,-0.75,Female,Hispanic
4391,Rejected without Interview,516,4,4,,-0.25,Female,White/Caucasian
4415,Rejected without Interview,524,4,4,,-0.24,Male,Hispanic
4455,Rejected without Interview,513,4,4,,1.04,Female,Asian
4456,Offered Admissions-Matriculated,506,4,4,,0.12,Female,Hispanic
4492,Rejected without Interview,509,4,4,,1.24,Female,Asian
4509,Rejected without Interview,511,4,4,,-0.14,Female,White/Caucasian
4518,Rejected without Interview,511,4,4,,1.58,Female,Hispanic
4536,Rejected without Interview,511,4,4,,0.93,Female,White/Caucasian
4551,Rejected without Interview,522,4,4,,0.31,Male,Asian
4558,Rejected without Interview,522,4,4,,0.44,Male,White/Caucasian
4591,Rejected without Interview,508,4,4,,-1.03,Male,Hispanic
4598,Rejected without Interview,506,4,4,,-1.23,Male,White/Caucasian
4601,Rejected without Interview,,4,4,,-0.77,Male,White/Caucasian
4610,Rejected without Interview,495,4,4,,-0.72,Female,African American
