gender,status,JAMP,Ethnicity,GPA_O,GPA_S,GPA_G,highest_mcat_2015,CASPer Score
Female,RB,N,African American,3.67,3.43,0,502,0.49
Female,RB,N,White/Caucasian,3.51,3.32,3.64,503,-0.1
Male,WA,N,Hispanic,3.74,3.55,0,519,-0.64
Male,RB,N,Hispanic,3.48,3.32,0,511,-0.15
Female,RB,N,African American,3.75,3.68,0,494,0.34
Female,WM,N,Asian,3.92,3.94,0,514,-0.32
Female,OA,N,Asian,3.82,3.8,0,517,0.09
Male,RB,N,African American,3.44,3.38,0,489,-1.55
Male,RB,N,African American,3.23,2.86,3.52,488,-1.34
Male,RB,N,White/Caucasian,3.98,4,0,510,-1.01
Female,RB,N,African American,3.23,2.46,3.16,492,-0.01
Male,RB,N,African American,3.62,3.58,0,491,
Male,RB,N,African American,3.36,3.14,0,497,-2.2
Male,RB,N,African American,3.77,3.67,0,495,-0.05
Female,RB,N,African American,3.8,3.8,4,500,0.01
Female,RB,N,African American,3.58,3.06,0,498,-0.61
Female,RB,N,White/Caucasian,3.51,3.25,0,501,-0.85
Male,WM,N,Hispanic,3.98,3.95,0,509,
Male,RB,N,African American,3.39,3.13,0,494,-2.68
Female,RB,N,African American,3.38,3.18,0,499,0.85
Female,RB,N,African American,3.7,3.42,0,501,-1.74
Female,RB,N,Hispanic,3.31,3.3,0,477,
Female,RB,N,African American,2.85,2.34,0,,
Male,WM,N,Asian,3.57,3.5,0,518,0.69
Male,RB,N,White/Caucasian,4,4,0,,
Female,RB,N,White/Caucasian,3.42,3.25,0,500,1.54
Female,RB,N,African American,3.41,3.01,0,486,
Female,RB,N,Asian,3.07,2.87,0,503,-0.09
Female,RB,N,African American,2.96,2.76,0,491,
Female,RB,N,African American,3.85,3.94,0,500,-1.98
Female,RB,N,White/Caucasian,3.64,3.36,0,502,1.3
Male,RB,N,Unreported,3.83,3.83,0,510,-0.2
Male,WM,N,Asian,3.9,3.83,0,516,-0.73
Female,RB,N,White/Caucasian,3.46,3.1,0,508,-0.23
Male,RAI,N,Asian,3.89,3.92,0,515,-0.73
Female,RB,N,African American,3.09,2.9,3.75,492,
Female,RB,N,Hispanic,2.64,2.13,0,481,-0.44
Female,RB,N,African American,3.47,3.09,0,501,1.15
Male,RB,N,White/Caucasian,3.61,3.31,0,513,-1.32
Male,RB,N,White/Caucasian,3.94,3.92,0,506,-1.02
Female,WM,N,Unreported,4,4,0,516,1.54
Female,RAI,N,Asian,3.8,3.75,0,513,-0.36
Male,WA,N,White/Caucasian,3.78,3.92,0,520,0.99
Female,RB,N,African American,3.52,3.44,0,490,-0.4
Female,WM,Y,Hispanic,3.87,3.93,0,505,-1.24
Female,RB,N,Hispanic,3.29,3.23,4,500,
Female,RB,N,Hispanic,3.74,3.8,0,507,-0.57
Female,RB,N,Asian,3.85,3.78,0,504,
Female,RB,N,Asian,3.42,3.29,0,501,-1.07
Female,RB,N,African American,3.78,3.67,0,496,-0.2
Female,RB,N,African American,3.73,3.67,0,496,-0.49
Male,WM,Y,African American,3.86,3.82,0,507,-1.83
Male,WA,N,African American,3.47,3.34,4,512,0.3
Female,WB,N,African American,3.88,3.79,0,510,-0.51
Female,WB,N,Asian,3.8,3.71,0,515,-0.32
Male,RB,N,Asian,3.75,3.9,3.5,519,
Female,RB,N,Asian,3.77,3.52,0,501,-0.61
Female,RB,N,White/Caucasian,3.93,3.94,0,510,0.26
Male,RB,N,Asian,3.96,4,0,508,0.91
Female,OA,N,Asian,3.74,3.57,3.2,517,0.36
Male,RB,N,Asian,4,4,0,505,-1.15
Female,RB,N,Asian,3.88,3.92,0,512,-1.39
Male,RB,N,Asian,3.89,3.86,0,512,0.17
Female,RB,N,Asian,3.6,3.51,3.53,508,0.09
Male,RB,N,Asian,3.38,3.83,0,513,0.78
Female,RB,N,Asian,3.7,3.62,0,504,
Female,RB,N,Asian,3.97,3.93,0,504,0.11
Female,RB,N,Asian,2.95,2.4,3.46,490,1.48
Male,RB,N,Asian,3.54,3.47,3.5,503,0.34
Male,WM,N,Asian,3.93,4,0,515,-0.59
Male,WM,N,White/Caucasian,3.85,3.96,0,517,1.57
Female,RB,N,Hispanic,3.57,3.38,0,500,0.62
Female,RB,N,Asian,3.11,2.58,3.08,,
Female,RB,N,Hispanic,3.68,3.54,0,488,-0.95
Female,RB,N,Asian,3.74,3.6,0,507,-0.81
Male,RAI,N,Asian,3.97,3.95,0,515,0.72
Male,RB,N,African American,2.9,3.4,0,513,
Male,RAI,N,Multiple,3.93,3.85,0,515,-0.66
Female,RB,N,African American,3.77,3.71,0,488,
Female,RB,N,African American,3.7,3.52,0,503,1.3
Female,RB,N,African American,3.39,3.04,0,513,-1.62
Female,RB,N,African American,3.97,3.94,0,503,-1.15
Male,OA,N,African American,3.37,3.36,0,509,-0.99
Male,RB,N,African American,3.34,3.16,0,499,
Male,RB,N,African American,3.72,3.71,0,506,0.81
Female,RB,N,African American,3.31,3.17,0,496,
Female,RB,N,Asian,3.4,3.27,0,500,-1.27
Male,RB,N,African American,3.99,3.99,0,505,-1.35
Female,RB,N,African American,3.27,3,0,510,
Female,RB,N,African American,3.09,2.93,3.33,,
Male,RB,N,African American,3.35,3.14,0,509,0.01
Female,RB,N,African American,3.4,3.15,0,504,-0.76
Male,RB,N,Asian,3.97,3.95,0,508,
Male,WA,N,African American,3.94,3.9,0,515,-1.3
Female,RB,N,African American,3.41,3.26,0,488,-1.05
Female,RB,N,African American,3.45,3.28,0,502,-0.45
Male,RB,N,Asian,3.98,3.96,0,505,
Male,WM,N,Asian,4,4,0,517,1.62
Female,WM,N,African American,3.6,3.53,0,510,-0.23
Male,RB,N,White/Caucasian,3.61,3.7,0,,
Female,RB,N,African American,3.47,3.41,0,482,
Female,WM,N,Asian,4,4,0,517,0.91
Male,RB,N,Multiple,3.71,3.58,0,506,
Female,RB,N,Asian,3.64,3.21,0,495,
Female,RB,N,Asian,3.48,2.99,0,506,0.15
Female,RB,N,Unreported,3.23,2.79,0,493,-0.5
Male,RAI,N,Asian,3.81,3.65,0,510,-0.96
Female,OA,N,Asian,3.98,4,0,516,0.97
Male,RB,N,White/Caucasian,3.52,3.61,0,513,0.21
Male,RB,N,White/Caucasian,3.88,3.82,0,511,0.08
Male,RB,N,Hispanic,3.81,3.82,0,506,-2.32
Female,RB,N,Hispanic,3.15,3.01,0,492,-0.55
Male,RAI,N,Hispanic,3.88,3.84,0,510,
Female,RB,N,Asian,3.97,3.96,0,500,0.05
Male,RB,N,White/Caucasian,3.65,3.69,0,505,0.49
Male,RB,N,White/Caucasian,3.77,3.72,0,502,0.44
Male,RB,N,Hispanic,3.56,3.92,3.44,497,
Male,WM,N,Hispanic,3.82,4,0,513,0.42
Male,RB,N,White/Caucasian,4,4,0,511,0.83
Female,WM,Y,Hispanic,3.83,3.84,0,503,-2.09
Male,RB,N,White/Caucasian,3.87,3.87,0,505,-1.41
Female,RB,N,Hispanic,2.99,2.56,0,500,0.95
Male,RAI,N,Asian,3.96,3.94,0,514,-0.91
Female,RB,N,African American,3.63,3.49,0,488,-0.58
Male,RB,N,American Indian,3.52,3.19,1.33,507,1.22
Male,RB,N,White/Caucasian,3.54,3.49,0,513,-0.02
Male,RB,N,White/Caucasian,3.97,3.95,4,505,-1.96
Male,OA,N,Hispanic,3.83,3.86,0,512,1.25
Male,RB,N,African American,3.49,3.35,0,503,-0.65
Female,RB,N,Hispanic,3.96,3.92,0,508,-0.93
Male,RB,N,White/Caucasian,3.85,3.85,0,,
Male,RB,N,White/Caucasian,3.77,3.68,0,517,1
Male,RB,N,Asian,3.94,3.94,4,505,
Female,RB,N,Asian,3.63,3.43,0,503,0.77
Female,RB,N,Asian,3.98,3.96,0,506,-0.99
Female,RB,N,Asian,3.55,3.39,0,503,0.2
Female,RB,N,Asian,3.24,3.09,0.95,512,0.21
Male,RB,N,Asian,3.43,3.29,4,513,
Female,RB,N,Asian,3.56,3.42,3.9,509,
Female,OA,N,Asian,3.98,3.93,0,515,0.28
Female,RB,N,Asian,3.85,3.81,0,503,
Female,RB,N,Asian,2.98,3,3.68,,
Female,RB,N,Multiple,2.95,2.49,0,497,
Female,RB,N,Multiple,3.56,3.34,0,509,1.16
Male,RB,N,Asian,3.96,3.95,0,509,0.12
Female,RB,N,White/Caucasian,3.83,3.75,0,490,-1.41
Female,RB,N,White/Caucasian,3.29,3.06,0,501,-1.19
Female,DF,N,White/Caucasian,3.95,3.93,0,514,0.28
Male,WM,N,Asian,4,4,0,522,0.54
Female,RB,N,White/Caucasian,2.8,3.35,2.51,498,0.19
Female,RB,N,White/Caucasian,3.23,3.05,0,493,-0.71
Female,RB,N,White/Caucasian,3.62,3.62,0,505,1.29
Female,RB,N,African American,3.27,2.95,0,489,-0.57
Male,RB,N,White/Caucasian,3.9,3.81,0,516,-0.44
Male,RB,N,African American,3.6,3.27,0,,
Female,RB,N,White/Caucasian,2.65,2.25,0,497,-0.42
Male,RB,N,White/Caucasian,3.97,3.96,0,512,-0.65
Female,RB,N,Unreported,3.6,3.55,0,501,-1.56
Male,RB,N,White/Caucasian,3.77,3.39,0,503,0.31
Female,RB,N,White/Caucasian,3.39,3.49,0,510,0.89
Female,OA,N,White/Caucasian,4,4,0,519,
Female,OA,Y,White/Caucasian,3.78,3.64,0,514,-0.07
Female,RB,N,White/Caucasian,3.62,3.22,4,483,
Male,RB,N,White/Caucasian,3.96,4,4,514,-2.09
Male,WI,N,White/Caucasian,4,4,0,520,0.13
Female,RB,N,White/Caucasian,2.87,2.67,3.72,480,-0.72
Female,RB,N,Hispanic,3.54,3.43,0,502,
Male,RB,N,Hispanic,3.62,3.4,0,513,-0.94
Male,RB,N,Hispanic,3.07,2.61,0,496,
Male,RB,N,White/Caucasian,3.4,3.26,0,,
Male,RB,N,White/Caucasian,3.85,3.88,0,511,1.46
Male,RB,N,White/Caucasian,3.61,3.63,0,510,-1.39
Male,RB,N,White/Caucasian,3.73,3.63,0,,
Female,RB,N,White/Caucasian,3.92,3.9,1.33,508,
Male,WM,N,White/Caucasian,4,4,0,516,-1.22
Female,RB,N,White/Caucasian,3.2,2.72,0,486,0.46
Male,RB,N,Hispanic,3.2,2.95,3.63,498,-0.16
Male,RB,N,Hispanic,3.1,2.94,3.81,507,-0.16
Male,RB,N,White/Caucasian,3.9,3.85,0,510,0.05
Male,RB,N,African American,3.15,2.64,0,504,-1.27
Female,RB,N,White/Caucasian,4,4,0,501,0.38
Male,WA,N,White/Caucasian,4,4,0,525,0.19
Male,RB,N,White/Caucasian,3.52,3.2,0,496,0.02
Female,RB,N,Unreported,3.98,3.99,0,499,0.51
Male,RB,N,White/Caucasian,3.79,3.87,0,516,1.47
Female,WB,N,Asian,3.51,3.53,0,516,-0.44
Female,WB,N,Asian,3.51,3.53,0,516,-0.44
Female,RB,N,White/Caucasian,3.51,3.21,0,509,-0.25
Female,RB,N,White/Caucasian,3.86,3.76,0,499,
Female,RB,N,White/Caucasian,3.45,3.63,0,494,0.73
Female,RB,N,Hispanic,4,4,0,504,
Female,RB,N,Hispanic,3.58,3.54,0,490,-0.31
Male,RB,N,Hispanic,3.45,3.31,0,489,
Female,RB,N,Hispanic,3.67,3.53,0,497,0.9
Male,RB,N,Hispanic,3.64,3.89,0,498,-0.69
Female,RB,N,Hispanic,3.33,2.97,0,481,-0.49
Male,RB,N,Hispanic,3.72,3.44,0,498,
Female,RB,N,Hispanic,3.09,2.85,3.46,507,
Female,RB,N,White/Caucasian,3.89,3.95,0,499,-1.46
Male,RB,N,African American,2.44,2.17,0,499,
Female,RB,N,African American,3.2,2.88,0,502,-0.99
Male,RB,N,African American,3.36,3.31,0,491,-1.63
Male,WA,N,Hispanic,3.67,3.63,0,521,1.37
Male,RB,N,Hispanic,3.67,3.53,0,495,
Male,RB,N,Hispanic,3.72,3.6,0,496,
Female,RB,N,African American,3.61,3.38,3.91,499,-0.24
Male,RB,N,Asian,3.61,3.42,0,506,-0.4
Female,RB,N,African American,3.71,3.55,0,495,-0.27
Female,RB,N,African American,3.59,3.78,3.67,505,-0.83
Female,RB,N,Hispanic,3.68,3.75,0,504,
Female,RB,N,Asian,3.9,3.81,0,,
Male,RAI,N,White/Caucasian,4,4,0,516,1.69
Female,RB,N,Hispanic,3.56,3.48,0,501,
Male,RB,N,Asian,3.63,3.36,0,495,
Female,WA,N,Multiple,3.95,4,4,517,0.99
Male,OA,N,Hispanic,3.96,3.93,0,509,0.66
Male,RB,N,Asian,3.93,3.89,0,517,0.13
Male,RAI,N,White/Caucasian,3.89,3.83,0,517,
Female,RB,N,African American,3.64,3.66,0,498,0.23
Male,RB,N,Asian,4,4,0,509,-1.38
Female,OA,N,Asian,3.95,4,1.26,516,-0.12
Female,OA,N,Asian,4,4,0,515,-0.14
Male,RB,N,Asian,3.79,3.94,0,512,0.66
Female,WA,N,Asian,3.91,3.84,0,518,-0.45
Male,RB,N,International,3.84,3.78,0,502,-0.93
Female,RB,N,White/Caucasian,3.75,3.42,4,501,
Female,RB,N,Asian,3.84,3.75,3.2,496,-0.52
Male,WM,N,White/Caucasian,3.93,3.86,0,515,
Female,WM,Y,African American,3.83,3.56,0,503,0.59
Female,RB,N,Asian,4,4,0,513,
Female,RB,N,White/Caucasian,3.98,3.97,0,503,0.35
Male,RB,N,White/Caucasian,3.86,3.87,0,519,0.35
Male,RB,N,Unreported,3.44,3.25,0,510,
Female,RB,N,African American,3.12,2.61,0,,
Male,RB,N,Multiple,3.9,3.85,0,505,0.32
Female,RAI,N,White/Caucasian,4,4,0,515,0.78
Male,RAI,N,White/Caucasian,3.97,3.96,0,513,-0.48
Male,RAI,N,White/Caucasian,3.97,3.96,0,513,-0.48
Female,RB,N,White/Caucasian,3.71,3.46,0,490,
Male,RB,N,Hispanic,3.28,2.9,0,507,-0.01
Male,RAI,N,White/Caucasian,3.88,3.9,0,521,0.28
Male,RAI,N,Unreported,4,4,0,516,0.22
Female,RB,N,African American,3.54,2.93,0,501,-0.06
Female,RB,N,African American,2.99,3.13,0,501,-1.01
Male,WB,N,Asian,3.98,3.96,0,525,1.98
Male,RB,N,African American,3.32,3.16,0,487,
Female,RB,N,White/Caucasian,3.63,3.45,0,509,0.84
Male,WM,N,Asian,4,4,0,518,0.94
Male,RB,N,African American,3.2,2.94,3.19,507,0.59
Female,WB,N,Asian,3.95,3.93,0,,
Female,OA,N,White/Caucasian,3.97,3.96,0,516,0.47
Female,RB,N,White/Caucasian,3.9,3.93,0,496,-1.14
Male,RB,N,Unreported,3.26,2.83,3.28,497,
Female,RB,N,Asian,3.87,3.82,0,511,1.96
Female,RB,N,African American,3.77,3.76,0,503,-0.4
Male,RB,N,African American,3.69,3.68,0,506,
Female,RB,N,African American,3.64,3.55,0,509,-0.16
Male,RB,N,African American,3.63,3.58,2.67,506,-0.89
Female,RB,N,African American,3.62,3.42,0,503,-1.41
Decline to Answer,RB,N,Unreported,3.54,3.29,4,508,1.54
Male,RB,N,White/Caucasian,3.82,3.94,0,500,-1.96
Male,WM,N,White/Caucasian,3.97,4,0,518,2.06
Male,WM,N,White/Caucasian,3.97,4,0,518,2.06
Female,RB,N,White/Caucasian,3.86,3.84,0,487,-0.83
Male,RB,N,Asian,3.83,3.8,0,515,-0.27
Female,RB,N,Hispanic,2.62,2.44,3.77,497,
Male,RB,N,Hispanic,2.86,2.61,4,511,0.56
Male,RB,N,Hispanic,3.84,3.85,0,505,-0.98
Male,RB,N,Hispanic,3.52,3.36,3.94,506,-0.92
Female,RB,N,Hispanic,3.85,3.74,0,508,-2.08
Female,WA,N,African American,3.95,4,0,510,-0.97
Female,RB,N,White/Caucasian,3.9,3.83,0,502,1.8
Male,WM,N,White/Caucasian,4,4,0,517,1.17
Male,RB,N,Hispanic,3.45,3.22,0,489,
Male,RB,N,White/Caucasian,3.25,3.08,0,,
Male,RB,N,Asian,4,4,0,508,
Male,RB,N,Hispanic,3.92,3.89,4,502,-1.02
Male,RB,N,Unreported,3.66,3.56,0,513,-0.07
Female,RB,N,Asian,3.95,3.91,0,499,
Male,RB,N,Hispanic,3.39,3.19,0,,
Male,RB,N,African American,3.68,3.47,0,505,-1.27
Female,RB,N,White/Caucasian,3.72,3.64,3.74,506,-0.95
Male,RB,N,Hispanic,3.21,3,0,492,
Male,RB,N,White/Caucasian,3.96,4,0,511,-0.6
Male,RB,N,Hispanic,3.89,3.83,0,507,
Female,RB,N,Multiple,3.56,3.47,0,503,-2.09
Male,RB,N,White/Caucasian,3.75,3.72,0,501,-2.2
Male,RB,N,African American,3.78,3.54,0,498,-1.77
Female,RB,N,Unreported,3.09,2.86,0,501,0.19
Male,RB,N,White/Caucasian,3.86,3.95,0,512,-1.32
Female,RB,N,African American,3.54,3.15,0,495,
Female,RB,N,White/Caucasian,3.77,3.53,0,508,0.51
Female,RB,N,Asian,3.3,3.09,0,495,0.33
Male,RB,N,Hispanic,3.62,3.64,0,,
Female,WM,Y,Hispanic,3.89,3.87,0,508,-1.15
Female,RB,N,Hispanic,3.65,3.41,0,495,1.24
Female,RB,N,Hispanic,3.09,3.49,3.81,500,0.53
Female,RB,N,African American,2.69,2.54,0,497,
Male,RB,N,White/Caucasian,3.47,3.61,0,504,
Male,RB,N,Hispanic,3.38,3.33,3.81,511,0.19
Female,RB,N,Asian,3.71,3.48,0,506,1.07
Female,RB,N,Asian,3.54,3.48,3.16,504,
Male,RB,N,Asian,3.49,3.53,0,485,
Male,WM,N,African American,3.94,3.96,0,508,-1.33
Male,RB,N,White/Caucasian,3.35,3.22,3.49,499,
Male,WI,N,White/Caucasian,4,4,0,523,0.85
Male,RB,N,White/Caucasian,3.62,3.27,0,505,
Female,RB,N,African American,3.18,3.16,0,508,
Female,RB,N,Asian,3.25,3.16,0,509,0.27
Female,RB,N,Asian,3.1,2.84,0,505,
Male,WA,N,African American,3.76,3.74,0,508,
Male,RB,N,White/Caucasian,2.97,2.86,0,513,0.37
Male,RB,N,White/Caucasian,3.87,3.82,0,512,0.52
Male,RB,N,African American,3.28,3.1,0,504,-0.89
Female,RB,N,Asian,3.76,3.57,0,509,0.67
Male,RAI,N,Asian,3.97,3.96,0,521,1.02
Female,WM,N,Asian,4,4,0,515,0.36
Female,RB,N,Asian,4,4,0,516,0.22
Female,RB,N,White/Caucasian,3.78,3.71,0,510,0.56
Male,RB,N,Hispanic,3.8,3.79,0,500,0.09
Female,RB,N,African American,3.37,3.22,3.86,504,
Female,RB,N,International,3.13,3.15,0,486,
Female,RB,N,White/Caucasian,3.84,3.78,0,496,-0.07
Female,RB,N,White/Caucasian,3.89,3.85,0,510,-0.02
Female,RB,N,White/Caucasian,3.52,3.4,1.9,501,-1.74
Female,RB,N,White/Caucasian,3.87,3.82,0,508,
Male,RB,N,Asian,3.63,3.28,3.82,516,0.64
Male,RB,N,Multiple,3.62,3.85,0,,
Female,RB,N,Hispanic,2.84,2.71,3.63,498,-0.83
Male,RB,N,African American,3.59,3.5,3.66,502,-0.38
Female,RB,N,Multiple,3.82,3.78,3.76,506,
Female,RB,N,African American,3.83,3.66,0,501,0.23
Female,RB,N,Hispanic,3.78,3.67,0,500,0.3
Male,RB,N,White/Caucasian,3.01,3.06,3.81,510,-1.77
Female,RB,N,White/Caucasian,3.57,3.42,0,511,-0.17
Female,RB,N,African American,3.48,3.08,0,506,0.12
Male,OA,N,White/Caucasian,3.71,3.61,0,523,0.19
Female,RB,N,Hispanic,2.92,2.61,0,487,-1.79
Male,RAI,N,White/Caucasian,3.87,3.88,0,515,1.27
Male,RB,N,International,3.64,3.42,0,496,-1.02
Female,RB,N,Hispanic,3.5,3.22,0,500,1.59
Female,RB,N,White/Caucasian,3.79,3.78,0,508,-0.81
Female,RB,N,White/Caucasian,3.72,3.48,0,508,2.04
Female,RB,N,African American,3.23,2.94,0,492,-1.5
Male,RB,N,Hispanic,3.82,3.75,0,499,-0.65
Female,WM,N,White/Caucasian,4,4,0,516,-0.65
Female,WA,N,Hispanic,3.89,3.99,0,513,0.45
Male,RB,N,Asian,3.71,3.62,0,509,0.44
Male,RB,N,Asian,3.71,3.62,0,509,0.44
Male,RB,N,White/Caucasian,4,4,4,524,-0.28
Female,RB,N,Asian,3.72,3.57,0,509,0.69
Male,WB,N,Asian,4,4,0,518,0.76
Female,RB,N,African American,3.16,2.92,3.67,512,-0.51
Male,RB,N,Asian,3.84,3.83,0,511,0.53
Male,RB,N,Hispanic,3.17,2.93,3.79,490,-0.27
Female,RB,N,White/Caucasian,3.48,3.31,3.37,496,
Female,RB,N,Hispanic,3.73,3.54,0,496,-0.84
Female,RB,N,Asian,3.74,3.61,1.6,509,0.75
Female,RAI,N,Asian,3.95,4,0,512,-0.07
Male,RB,N,White/Caucasian,3.5,3.89,0,511,0.17
Female,RB,N,Unreported,3.5,3.3,0,495,-1.72
Male,WS,N,Unreported,3.84,3.77,0,513,-1.24
Female,RB,N,White/Caucasian,3.31,3.1,3.59,505,-1.3
Female,RB,N,African American,3.72,3.66,0,483,
Male,WM,Y,Asian,3.93,3.92,0,504,-0.64
Female,RB,N,Asian,3.38,3.24,3.78,508,
Female,RB,N,Asian,3.89,3.81,0,509,0.97
Female,RB,N,White/Caucasian,2.95,2.63,0,503,0.67
Female,RB,N,Asian,3.57,3.31,2.67,505,
Male,RB,N,Asian,3.33,3.19,0,500,0.53
Male,RB,N,White/Caucasian,3.75,3.68,0,512,-0.86
Male,RAI,N,Asian,4,4,0,513,1.33
Male,RAI,N,White/Caucasian,4,4,0,510,0.2
Male,WM,N,White/Caucasian,3.95,3.91,0,518,-0.07
Male,WM,N,Asian,3.9,3.92,0,515,0.35
Female,RB,N,White/Caucasian,3.79,3.55,3.93,,
Male,OA,N,White/Caucasian,3.91,3.88,0,522,0.28
Male,RAI,N,White/Caucasian,3.61,3.64,0,518,0.78
Female,RB,N,White/Caucasian,3.9,3.87,0,508,-0.09
Female,RB,N,White/Caucasian,3.95,4,0,508,1.7
Female,RAI,N,White/Caucasian,3.98,3.96,0,517,0.54
Female,RB,N,Asian,3.18,3.08,4,504,-0.29
Female,RB,N,White/Caucasian,3.72,3.57,0,514,0.61
Female,RB,N,Hispanic,3.51,3.3,0,493,
Male,WB,N,Multiple,3.74,3.69,0,519,-0.46
Male,RB,N,White/Caucasian,3.58,3.56,4,507,-1.39
Male,RB,N,White/Caucasian,4,4,0,505,0.79
Female,RB,N,White/Caucasian,3.87,3.75,0,511,-1.39
Male,RB,N,White/Caucasian,3.68,3.4,0,515,-1.1
Male,RB,N,Multiple,2.28,2.15,3.31,483,-0.76
Male,RAI,N,White/Caucasian,3.79,4,0,517,-0.19
Male,RB,N,White/Caucasian,3.74,3.8,0,506,-0.28
Male,RB,N,White/Caucasian,3.31,3.13,3.39,510,
Female,RB,N,Asian,4,4,4,511,0.78
Male,RB,N,Asian,3.74,3.57,4,509,-1.46
Male,RB,N,Hispanic,3.57,3.52,0,504,
Female,RB,N,White/Caucasian,3.94,3.9,0,499,0.92
Female,RB,N,White/Caucasian,3.59,3.38,4,506,1.08
Female,RB,N,White/Caucasian,3.26,2.87,3.8,499,1.73
Male,RB,N,African American,3.86,3.85,3.86,503,-0.95
Female,RB,N,White/Caucasian,3.9,3.85,0,511,-0.65
Male,RB,N,Hispanic,3.77,3.59,0,496,-0.4
Male,RB,N,African American,3.54,3.33,0,491,-1.88
Female,RB,N,Multiple,3.24,3.07,3.54,487,-0.79
Male,RB,N,Hispanic,3.85,3.85,0,499,
Male,RB,N,Asian,3.8,3.79,3.75,,
Female,RB,N,Hispanic,3.22,3.06,0,505,-0.58
Female,RB,N,Hispanic,3.93,3.9,0,504,-1.12
Female,RB,N,Asian,3.97,3.94,0,514,1.96
Male,OA,N,White/Caucasian,3.98,4,0,522,-1.15
Female,RB,N,Asian,3.33,3.11,0,491,0.17
Male,RB,N,Hispanic,3.84,3.71,0,509,0.74
Male,RB,N,Unreported,3.82,3.8,0,515,-0.7
Female,RB,N,African American,3.64,3.49,3.83,491,-0.65
Female,RB,N,White/Caucasian,3.97,3.92,0,509,1.17
Male,RB,N,White/Caucasian,3.97,3.94,0,505,0.17
Female,RB,N,Multiple,3.42,3.15,0,510,
Male,RB,N,Asian,3.95,4,0,509,0.93
Female,RB,N,African American,3.32,3.05,0,504,0.27
Female,WM,N,Asian,3.93,3.89,0,516,-1.63
Male,RB,N,Hispanic,3.47,3.16,3.85,502,
Male,OA,N,Asian,3.92,3.96,0,519,-0.32
Female,OA,N,Asian,3.93,3.89,0,517,1.93
Female,RB,N,African American,3.19,2.88,3.89,498,0.11
Male,RB,N,White/Caucasian,3.23,2.93,3.62,483,-2.03
Female,RB,N,Hispanic,3.31,3.06,0,486,
Male,RB,N,White/Caucasian,3.43,3.35,2.67,504,-0.81
Female,RB,N,Hispanic,3.3,3.23,0,485,-1.49
