Entry Year,Gender,Ethnicity,Overall GPA,Overall Science GPA,MCAT Highest,Final Status
2021,Male,Asian,3.92,3.87,512,MA
2021,Female,White/Caucasian,3.84,3.75,509,MA
2021,Female,Hispanic,3.89,3.99,513,MA
2021,Female,White/Caucasian,4,4,511,MA
2021,Male,White/Caucasian,3.91,3.94,510,MA
2021,Male,Unreported,3.83,3.83,510,MA
2021,Female,White/Caucasian,3.78,3.71,510,MA
2021,Female,White/Caucasian,3.86,3.84,513,MA
2021,Male,Hispanic,3.91,3.9,505,MA
2021,Female,Asian,3.76,3.7,511,MA
2021,Male,White/Caucasian,3.83,3.89,511,MA
2021,Female,Asian,3.62,3.37,510,MA
2021,Female,African American,3.85,3.78,502,MA
2021,Female,White/Caucasian,4,4,514,MA
2021,Female,Hispanic,3.81,3.7,505,MA
2021,Male,Asian,3.7,3.49,512,MA
2021,Male,White/Caucasian,3.74,3.66,512,MA
2021,Male,Asian,3.73,3.69,507,MA
2021,Female,White/Caucasian,3.93,3.91,514,MA
2021,Female,White/Caucasian,4,4,517,MA
2021,Male,White/Caucasian,3.79,3.76,510,MA
2021,Male,Unreported,3.7,3.58,509,MA
2021,Female,African American,3.73,3.62,495,MA
2021,Male,White/Caucasian,3.83,3.85,513,MA
2021,Male,White/Caucasian,3.88,3.94,512,MA
2021,Male,Unreported,3.94,3.89,512,MA
2021,Female,Hispanic,3.81,3.63,510,MA
2021,Male,White/Caucasian,3.89,3.79,512,MA
2021,Female,Hispanic,3.97,3.95,504,MA
2021,Female,White/Caucasian,3.9,3.77,511,MA
2021,Male,Hispanic,3.88,3.87,507,MA
2021,Female,Asian,3.78,3.61,515,MA
2021,Male,African American,3.69,3.68,506,MA
2021,Male,African American,3.68,3.61,507,MA
2021,Female,White/Caucasian,3.93,3.94,510,MA
2021,Female,White/Caucasian,4,4,520,MA
2021,Male,Asian,3.87,3.84,515,MA
2021,Female,White/Caucasian,3.82,3.58,513,MA
2021,Male,Multiple,3.65,3.59,505,MA
2021,Male,White/Caucasian,4,4,514,MA
2021,Male,Asian,3.98,3.96,512,MA
2021,Female,White/Caucasian,3.98,4,516,MA
2021,Male,White/Caucasian,4,4,521,MA
2021,Male,African American,3.77,3.65,499,MA
2021,Female,Hispanic,3.47,3.33,515,MA
2021,Male,White/Caucasian,3.79,3.77,511,MA
2021,Female,African American,3.83,3.76,504,MA
2021,Male,Hispanic,3.87,3.79,507,MA
2021,Male,White/Caucasian,3.91,3.82,517,MA
2021,Male,Hispanic,3.57,3.46,517,MA
2021,Male,White/Caucasian,3.99,3.97,514,MA
2021,Male,Asian,4,4,515,MA
2021,Female,White/Caucasian,3.95,4,508,MA
2021,Male,Asian,3.93,4,515,MA
2021,Female,Asian,3.82,3.71,517,MA
2021,Female,Asian,3.98,3.96,506,MA
2021,Female,Asian,3.95,3.9,518,MA
2021,Male,Asian,4,4,516,MA
2021,Female,Asian,3.97,3.98,511,MA
2021,Male,White/Caucasian,3.91,3.88,518,MA
2021,Female,African American,3.53,3.15,504,MA
2021,Male,Asian,3.97,4,514,MA
2021,Male,Asian,4,4,510,MA
2021,Male,Asian,3.97,4,524,MA
2021,Female,Asian,3.74,3.61,513,MA
2021,Male,White/Caucasian,3.98,3.96,515,MA
2021,Female,White/Caucasian,3.71,3.94,520,MA
2021,Male,Unreported,4,4,526,MA
2021,Male,White/Caucasian,3.81,3.62,514,MA
2021,Female,White/Caucasian,3.97,4,510,MA
2021,Male,Hispanic,4,4,512,MA
2021,Male,White/Caucasian,3.56,3.59,518,MA
2021,Male,White/Caucasian,3.63,3.6,507,MA
2021,Male,White/Caucasian,3.97,3.94,505,MA
2021,Female,Hispanic,3.98,4,507,MA
2021,Male,Asian,3.83,3.75,504,MA
2021,Female,Asian,3.88,3.81,511,MA
2021,Male,White/Caucasian,4,4,521,MA
2021,Male,Asian,3.97,3.94,514,MA
2021,Male,Hispanic,3.84,3.85,505,MA
2021,Female,White/Caucasian,3.71,3.51,514,MA
2021,Female,Asian,3.89,3.84,508,MA
2021,Female,Multiple,3.9,3.71,516,MA
2021,Male,White/Caucasian,3.72,3.58,515,MA
2021,Male,Hispanic,4,4,513,MA
2021,Female,Hispanic,3.52,3.28,513,MA
2021,Female,White/Caucasian,3.94,3.88,512,MA
2021,Male,White/Caucasian,3.9,3.94,514,MA
2021,Female,White/Caucasian,4,4,513,MA
2021,Female,White/Caucasian,3.87,3.8,510,MA
2021,Female,White/Caucasian,3.75,3.76,512,MA
2021,Male,Asian,3.95,3.91,523,MA
2021,Female,Asian,3.74,3.66,516,MA
2021,Female,White/Caucasian,3.95,3.92,513,MA
2021,Female,Hispanic,3.93,3.89,509,MA
2021,Male,White/Caucasian,3.97,3.93,506,MA
2021,Male,White/Caucasian,3.91,3.82,511,MA
2021,Female,White/Caucasian,3.66,3.69,517,MA
2021,Female,Hispanic,4,4,514,MA
2021,Female,African American,3.67,3.49,504,MA
2021,Male,White/Caucasian,3.84,3.8,512,MA
2021,Female,Asian,3.88,4,513,MA
2021,Male,White/Caucasian,3.77,3.74,510,MA
2021,Female,White/Caucasian,3.95,3.92,507,MA
2021,Male,Asian,3.79,3.7,511,MA
2021,Male,African American,3.7,3.53,505,MA
2021,Male,White/Caucasian,3.25,3.2,516,MA
2021,Female,Hispanic,3.9,3.88,504,MA
2021,Male,White/Caucasian,3.91,3.88,511,MA
2021,Female,White/Caucasian,4,4,516,MA
2021,Male,Hispanic,3.95,3.96,508,MA
2021,Male,Hispanic,3.44,3.39,513,MA
2021,Male,White/Caucasian,3.94,3.91,516,MA
2021,Female,Asian,3.94,3.83,508,MA
2021,Female,White/Caucasian,3.92,3.85,506,MA
2021,Male,White/Caucasian,3.84,3.88,510,MA
2021,Female,White/Caucasian,3.79,3.62,521,MA
2021,Male,Asian,3.93,3.96,518,MA
2021,Female,African American,3.88,3.75,504,MA
2021,Female,White/Caucasian,3.77,3.74,515,MA
2021,Female,Asian,3.92,3.94,514,MA
2021,Female,Asian,3.81,3.54,513,MA
2021,Female,Asian,3.98,3.95,516,MA
2021,Female,Asian,3.98,3.95,511,MA
2021,Male,Asian,3.72,3.65,515,MA
2021,Male,Unreported,3.84,3.75,506,MA
2021,Female,White/Caucasian,3.99,3.98,513,MA
2021,Female,Asian,3.95,3.95,512,MA
2021,Female,White/Caucasian,3.53,3.41,507,MA
2021,Female,Asian,3.97,3.94,514,MA
2021,Male,Asian,3.89,3.86,512,MA
2021,Female,White/Caucasian,3.69,3.59,510,MA
2021,Male,Asian,3.69,3.64,519,MA
2021,Female,Asian,4,4,514,MA
2021,Male,Asian,4,4,521,MA
2021,Female,Hispanic,3.91,3.94,500,MA
2021,Female,White/Caucasian,4,4,514,MA
2021,Female,Asian,3.98,4,517,MA
2021,Male,White/Caucasian,3.99,3.98,517,MA
2021,Male,Asian,3.78,3.71,511,MA
2021,Female,Hispanic,3.8,3.64,511,MA
2021,Female,White/Caucasian,4,4,512,MA
2021,Female,White/Caucasian,3.91,3.83,517,MA
2021,Female,Asian,4,4,523,MA
2021,Male,White/Caucasian,3.9,3.87,518,MA
2021,Female,White/Caucasian,3.79,3.63,515,MA
2021,Female,Hispanic,3.79,3.57,508,MA
2021,Male,White/Caucasian,3.95,3.9,517,MA
2021,Female,White/Caucasian,4,4,509,MA
2021,Female,African American,3.54,3.38,506,MA
2021,Female,White/Caucasian,3.86,3.83,512,MA
2021,Female,Hispanic,3.87,3.93,507,MA
2021,Female,Asian,4,4,519,MA
2021,Female,Asian,3.99,3.98,512,MA
2021,Female,White/Caucasian,3.87,3.91,511,MA
2021,Male,Asian,3.89,3.82,524,MA
2021,Female,Asian,4,4,515,MA
2021,Male,Asian,3.84,3.74,512,MA
2021,Male,Asian,4,4,508,MA
2021,Female,White/Caucasian,3.95,3.92,506,MA
2021,Female,Asian,4,4,512,MA
2021,Male,White/Caucasian,3.97,4,514,MA
2021,Female,White/Caucasian,3.87,3.9,514,MA
2021,Female,White/Caucasian,3.93,3.88,507,MA
2021,Male,White/Caucasian,3.76,3.67,514,MA
2021,Female,Hispanic,4,4,511,MA
2021,Female,White/Caucasian,3.94,3.86,518,MA
2021,Male,White/Caucasian,4,4,511,MA
2021,Male,Asian,4,4,517,MA
2021,Female,Asian,4,4,510,MA
2021,Male,White/Caucasian,4,4,513,MA
2021,Female,Multiple,3.36,3.15,510,MA
2021,Female,African American,3.62,3.43,506,MA
2021,Male,Asian,3.64,3.34,513,MA
2021,Female,White/Caucasian,4,4,514,MA
2021,Male,Asian,3.98,4,519,MA
2021,Male,Hispanic,3.8,3.65,509,MA
2021,Female,Asian,3.92,3.97,513,MA
2021,Male,White/Caucasian,3.89,3.82,519,MA
2021,Female,White/Caucasian,3.56,3.34,519,MA
2021,Male,Asian,3.83,3.6,515,MA
2021,Female,Asian,3.93,3.89,516,MA
2021,Female,Asian,3.89,3.73,515,MA
2021,Male,White/Caucasian,3.96,3.92,514,MA
2021,Female,White/Caucasian,3.98,3.97,513,MA
2021,Male,White/Caucasian,3.8,3.7,517,MA
2021,Female,Asian,3.91,3.81,512,MA
2021,Female,White/Caucasian,3.8,3.61,514,MA
2021,Male,Hispanic,3.75,3.71,508,MA
2021,Female,White/Caucasian,3.92,3.88,516,MA
2021,Male,White/Caucasian,3.93,3.94,521,MA
2021,Female,Asian,3.94,3.89,520,MA
2021,Male,Asian,3.9,3.85,517,MA
2021,Male,White/Caucasian,3.92,4,511,MA
2021,Male,Hispanic,3.88,3.92,512,MA
2021,Male,White/Caucasian,3.91,3.85,520,MA
2021,Female,Asian,3.79,3.62,519,MA
2021,Female,Asian,3.9,3.76,516,MA
2021,Female,African American,4,4,503,MA
2021,Female,Multiple,3.88,3.92,516,MA
2021,Male,Asian,3.89,3.77,509,MA
2021,Female,Hispanic,3.54,3.45,509,MA
2021,Female,White/Caucasian,3.95,3.89,516,MA
2021,Male,White/Caucasian,3.68,3.4,515,MA
2021,Male,Asian,3.96,3.89,519,MA
2021,Female,Asian,3.76,3.81,518,MA
2021,Male,African American,3.83,3.74,502,MA
2021,Female,American Indian or Alaska Native,3.94,3.92,517,OD
2021,Female,Asian,3.77,3.7,521,OD
2021,Female,African American,3.05,2.87,503,OD
2021,Female,African American,3.62,3.67,514,OD
2021,Male,Hispanic,3.76,3.7,517,OD
2021,Male,White/Caucasian,4,4,511,OD
2021,Female,Asian,3.8,3.69,523,OD
2021,Female,White/Caucasian,3.91,3.8,514,OD
2021,Female,African American,3.55,3.22,508,OD
2021,Male,Hispanic,3.8,3.82,508,OD
2021,Female,Asian,4,4,520,OD
2021,Male,White/Caucasian,4,4,521,OD
2021,Male,White/Caucasian,3.96,3.98,518,OD
2021,Male,White/Caucasian,4,4,515,OD
2021,Male,African American,3.71,3.63,509,OD
2021,Male,Hispanic,3.93,3.96,516,OD
2021,Male,Asian,4,4,526,OD
2021,Female,White/Caucasian,3.76,3.59,518,OD
2021,Female,Asian,4,4,524,OD
2021,Female,Asian,4,4,520,OD
2021,Female,Asian,4,4,521,OD
2021,Male,White/Caucasian,4,4,516,OD
2021,Female,White/Caucasian,3.92,3.92,517,OD
2021,Female,Asian,4,4,515,OD
2021,Female,Asian,4,4,524,OD
2021,Male,Asian,3.9,3.92,515,OD
2021,Male,Multiple,4,4,518,OD
2021,Female,Asian,3.85,3.73,518,OD
2021,Male,Hispanic,4,4,523,OD
2021,Female,White/Caucasian,3.95,3.94,523,OD
2021,Female,Hispanic,3.73,3.65,512,OD
2021,Male,Hispanic,4,4,522,OD
2021,Male,White/Caucasian,3.89,3.85,519,OD
2021,Female,Asian,4,4,515,OD
2021,Female,Hispanic,3.76,3.56,511,OD
2021,Female,White/Caucasian,3.93,4,517,OD
2021,Male,White/Caucasian,3.79,3.67,517,OD
2021,Male,Asian,4,4,522,OD
2021,Female,Asian,3.5,3.36,515,OD
2021,Female,African American,3.89,3.9,507,OD
2021,Male,Hispanic,4,4,510,OD
2021,Female,White/Caucasian,3.95,3.9,522,OD
2021,Male,Asian,4,4,524,OD
2021,Female,White/Caucasian,3.97,4,518,OD
2021,Male,Unreported,4,4,520,OD
2021,Male,African American,3.69,3.59,504,OD
2021,Female,White/Caucasian,3.95,3.9,521,OD
2021,Female,African American,4,4,507,OD
2021,Male,Asian,3.98,3.97,518,OD
2021,Female,Asian,4,4,516,OD
2021,Female,White/Caucasian,4,4,523,OD
2021,Female,African American,3.25,3.09,519,OD
2021,Male,White/Caucasian,3.93,3.87,511,OD
2021,Female,Asian,3.91,4,524,OD
2021,Male,White/Caucasian,3.84,3.7,517,OD
2021,Female,Asian,3.76,3.64,514,OD
2021,Female,Asian,4,4,519,OD
2021,Male,White/Caucasian,4,4,524,OD
2021,Female,Hispanic,3.99,3.99,517,OD
2021,Male,Hispanic,3.85,3.77,512,OD
2021,Male,Hispanic,4,4,513,OD
2021,Female,Asian,3.96,3.94,517,OD
2021,Male,White/Caucasian,4,4,522,OD
2021,Male,Hispanic,3.89,4,522,OD
2021,Female,Hispanic,3.88,3.82,510,OD
2021,Female,Asian,4,4,515,OD
2021,Female,Asian,3.87,3.75,522,OD
2021,Female,White/Caucasian,3.71,3.46,520,OD
2021,Male,Hispanic,3.63,3.54,516,OD
2021,Female,Asian,4,4,516,OD
2021,Male,White/Caucasian,3.78,3.69,524,OD
2021,Female,White/Caucasian,3.85,3.74,515,OD
2021,Male,African American,3.69,3.7,515,OD
2021,Female,White/Caucasian,4,4,525,OD
2021,Female,Hispanic,4,4,510,OD
2021,Female,Multiple,3.72,3.56,510,OD
2021,Male,African American,3.62,3.6,522,OD
2021,Female,White/Caucasian,3.58,3.38,519,OW
2021,Female,White,3.74,3.63,517,RA
2021,Female,"White Hispanic, Latino, or of Spanish origin; Mexican/Chicano",3.94,3.91,517,RA
2021,Female,Asian,4,4,518,RA
2021,Female,Asian,4,4,522,RA
2021,Male,Other; White,3.95,3.96,526,RA
2021,Male,Asian,3.94,3.96,517,RA
2021,Male,Asian; White,3.8,3.74,511,RA
2021,Male,White,3.54,3.51,513,RA
2021,Male,White,3.55,3.49,516,RA
2021,Male,Asian,3.99,4,516,RA
2021,Male,Asian,3.78,3.77,518,RA
2021,Male,Other,3.57,3.56,514,RA
2021,Male,,3.58,3.45,514,RA
2021,Female,White,4,4,523,RA
2021,Female,Asian,3.7,3.66,517,RA
2021,Female,,3.63,3.56,507,RA
2021,Male,White,3.74,3.75,516,RA
2021,Female,White,3.8,3.78,524,RA
2021,Male,White,3.75,3.71,507,RA
2021,Male,White,3.75,3.91,520,RA
2021,Male,White,4,4,519,RA
2021,Female,Asian,3.74,3.74,510,RA
2021,Female,White,4,4,515,RA
2021,Male,White,3.82,3.77,509,RA
2021,Female,Asian,3.79,3.73,515,RA
2021,Male,Asian,4,4,524,RA
2021,Female,Other; White,3.7,3.65,507,RA
2021,Male,,3.81,3.86,520,RA
2021,Female,Black or African American,3.25,3.09,510,RA
2021,Female,White,3.6,3.47,517,RA
2021,Female,White,3.87,3.83,501,RA
2021,Female,Asian,3.91,4,518,RA
2021,Male,White,3.56,3.51,511,RA
2021,Female,Black or African American,3.35,3.04,505,RA
2021,Female,Asian,3.93,3.89,515,RA
2021,Male,White,4,4,523,RA
2021,Male,White,3.98,3.97,516,RA
2021,Female,Asian,3.41,3.28,520,RA
2021,Male,Asian,3.89,3.86,516,RA
2021,Female,White,3.71,3.58,513,RA
2021,Female,"Puerto Rican; Hispanic, Latino, or of Spanish origin",3.85,3.78,501,RA
2021,Male,Black or African American,3.72,3.71,502,RA
2021,Male,Black or African American,3.77,3.74,519,RA
2021,Male,White/Caucasian,3.67,3.64,515,RA
2021,Female,White/Caucasian,3.69,3.5,518,RA
2021,Female,White/Caucasian,3.87,3.8,516,RA
2021,Female,African American,3.34,3.18,507,RA
2021,Male,White/Caucasian,3.67,3.33,514,RA
2021,Female,African American,3.72,3.82,500,RA
2021,Female,White/Caucasian,3.65,3.5,513,RA
2021,Male,White/Caucasian,3.91,3.9,506,RA
2021,Male,Asian,3.77,3.72,514,RA
2021,Female,Hispanic,3.74,3.61,508,RA
2021,Male,White/Caucasian,3.6,3.45,518,RA
2021,Female,Asian,3.94,3.92,507,RA
2021,Male,Asian,3.81,3.57,523,RA
2021,Male,Hispanic,3.62,3.59,507,RA
2021,Female,Hispanic,3.73,3.7,503,RA
2021,Male,White/Caucasian,3.87,3.84,516,RA
2021,Female,White/Caucasian,3.52,3.37,507,RA
2021,Male,Hispanic,3.97,3.96,510,RA
2021,Female,Asian,3.9,3.95,516,RA
2021,Female,White/Caucasian,3.92,3.87,509,RA
2021,Female,Asian,3.74,3.65,513,RA
2021,Female,White/Caucasian,3.42,3.33,513,RA
2021,Male,Hispanic,3.31,3.01,520,RA
2021,Male,White/Caucasian,3.58,3.43,507,RA
2021,Female,White/Caucasian,3.79,3.76,515,RA
2021,Male,Unreported,3.88,3.8,513,RA
2021,Male,Hispanic,3.84,3.76,501,RA
2021,Male,White/Caucasian,3.68,3.61,510,RA
2021,Male,White/Caucasian,4,4,503,RA
2021,Male,Asian,3.76,3.58,510,RA
2021,Male,White/Caucasian,3.71,3.6,508,RA
2021,Male,White/Caucasian,3.58,3.56,507,RA
2021,Male,Asian,3.86,3.86,511,RA
2021,Female,African American,3.6,3.4,504,RA
2021,Female,Asian,3.78,3.69,515,RA
2021,Female,White/Caucasian,3.93,3.77,507,RA
2021,Male,White/Caucasian,3.92,3.86,513,RA
2021,Female,Asian,3.83,3.71,510,RA
2021,Female,White/Caucasian,3.69,3.52,507,RA
2021,Male,White/Caucasian,3.79,3.86,515,RA
2021,Male,Asian,4,4,521,RA
2021,Male,White/Caucasian,3.88,3.91,507,RA
2021,Male,White/Caucasian,3.84,3.66,510,RA
2021,Female,White/Caucasian,3.71,3.49,507,RA
2021,Male,White/Caucasian,3.88,3.84,514,RA
2021,Female,White/Caucasian,3.78,3.77,516,RA
2021,Male,White/Caucasian,3.73,3.77,507,RA
2021,Male,Asian,3.58,3.88,521,RA
2021,Female,White/Caucasian,4,4,508,RA
2021,Male,White/Caucasian,3.86,4,519,RA
2021,Male,Asian,3.8,3.81,511,RA
2021,Female,Hispanic,3.86,3.78,506,RA
2021,Female,White/Caucasian,4,4,511,RA
2021,Male,White/Caucasian,3.77,3.39,503,RA
2021,Female,Asian,3.57,3.08,516,RA
2021,Female,Unreported,3.89,3.71,511,RA
2021,Male,White/Caucasian,3.56,3.41,512,RA
2021,Male,Hispanic,3.96,3.95,506,RA
2021,Male,Hispanic,3.9,3.91,514,RA
2021,Male,White/Caucasian,4,4,512,RA
2021,Male,White/Caucasian,3.91,3.92,516,RA
2021,Male,White/Caucasian,3.06,3.45,520,RA
2021,Male,White/Caucasian,3.9,3.91,518,RA
2021,Male,White/Caucasian,3.57,3.37,511,RA
2021,Male,Unreported,3.67,3.63,510,RA
2021,Male,Asian,3.61,3.54,513,RA
2021,Female,White/Caucasian,3.67,3.58,509,RA
2021,Female,White/Caucasian,3.76,3.78,507,RA
2021,Male,Asian,3.75,3.69,520,RA
2021,Female,White/Caucasian,3.84,3.74,517,RA
2021,Female,White/Caucasian,3.62,3.49,510,RA
2021,Female,White/Caucasian,4,4,510,RA
2021,Female,Hispanic,3.84,3.85,507,RA
2021,Female,White/Caucasian,3.63,3.56,515,RA
2021,Female,Asian,3.89,3.82,520,RA
2021,Male,Asian,3.85,3.86,513,RA
2021,Male,Hispanic,3.63,3.48,507,RA
2021,Female,Multiple,3.97,3.99,515,RA
2021,Female,White/Caucasian,3.97,4,511,RA
2021,Male,Asian,3.82,3.76,510,RA
2021,Male,Asian,3.75,3.68,510,RA
2021,Female,White/Caucasian,3.54,3.65,511,RA
2021,Female,Multiple,3.95,3.91,513,RA
2021,Female,White/Caucasian,3.95,3.98,511,RA
2021,Female,White/Caucasian,3.66,3.57,512,RA
2021,Female,Asian,4,4,515,RA
2021,Female,White/Caucasian,3.74,3.63,512,RA
2021,Male,Asian,3.93,3.87,511,RA
2021,Male,Asian,3.75,3.76,515,RA
2021,Female,Hispanic,3.83,3.61,508,RA
2021,Male,Hispanic,3.93,3.92,509,RA
2021,Male,Asian,3.8,3.83,509,RA
2021,Female,Multiple,3.74,3.72,511,RA
2021,Female,Asian,3.74,3.63,510,RA
2021,Male,White/Caucasian,3.85,3.87,513,RA
2021,Male,Asian,3.73,3.6,510,RA
2021,Female,Hispanic,4,4,508,RA
2021,Female,Hispanic,3.92,3.98,508,RA
2021,Male,White/Caucasian,3.68,3.56,516,RA
2021,Female,White/Caucasian,3.79,3.63,513,RA
2021,Male,Asian,3.8,3.82,510,RA
2021,Male,Asian,3.96,3.98,511,RA
2021,Male,Asian,3.82,3.75,508,RA
2021,Male,Hispanic,3.93,3.97,509,RA
2021,Female,African American,3.62,3.34,511,RA
2021,Male,White/Caucasian,3.67,3.68,509,RA
2021,Female,Hispanic,3.82,3.65,508,RA
2021,Male,White/Caucasian,3.78,3.81,510,RA
2021,Female,White/Caucasian,3.98,3.96,507,RA
2021,Female,White/Caucasian,3.82,3.85,512,RA
2021,Female,Asian,3.94,4,518,RA
2021,Female,Hispanic,3.99,3.99,514,RA
2021,Male,White/Caucasian,4,4,514,RA
2021,Female,Asian,3.82,3.77,517,RA
2021,Female,White/Caucasian,3.82,4,504,RA
2021,Female,White/Caucasian,3.95,4,508,RA
2021,Male,White/Caucasian,3.92,3.88,525,RA
2021,Female,Asian,4,4,518,RA
2021,Male,White/Caucasian,3.59,3.28,508,RA
2021,Female,White/Caucasian,3.85,3.93,521,RA
2021,Male,White/Caucasian,3.89,3.86,510,RA
2021,Female,White/Caucasian,3.43,4,514,RA
2021,Male,White/Caucasian,3.55,3.5,517,RA
2021,Male,White/Caucasian,3.87,3.83,516,RA
2021,Female,White/Caucasian,3.77,3.67,511,RA
2021,Female,African American,3.69,3.66,506,RA
2021,Female,Asian,3.92,3.87,511,RA
2021,Male,White/Caucasian,4,4,526,RA
2021,Female,Asian,3.98,3.96,510,RA
2021,Male,White/Caucasian,4,4,525,RA
2021,Female,Asian,3.9,3.82,511,RA
2021,Male,Hispanic,3.81,3.82,506,RA
2021,Female,White/Caucasian,3.81,3.67,509,RA
2021,Male,Unreported,3.72,3.73,515,RA
2021,Female,White/Caucasian,3.79,3.86,507,RA
2021,Male,Hispanic,3.51,3.13,505,RA
2021,Male,White/Caucasian,4,4,515,RA
2021,Female,White/Caucasian,4,4,513,RA
2021,Male,Hispanic,3.95,3.96,512,RA
2021,Female,White/Caucasian,3.77,3.61,500,RA
2021,Female,Hispanic,3.96,3.93,504,RA
2021,Male,White/Caucasian,4,4,522,RA
2021,Female,Asian,3.91,3.77,509,RA
2021,Male,White/Caucasian,3.73,3.72,513,RA
2021,Female,White/Caucasian,3.98,4,510,RA
2021,Female,White/Caucasian,3.83,3.76,510,RA
2021,Male,Asian,3.95,3.94,514,RA
2021,Female,White/Caucasian,3.76,3.68,511,RA
2021,Male,Asian,3.78,3.71,517,RA
2021,Female,Asian,4,4,516,RA
2021,Male,White/Caucasian,4,4,519,RA
2021,Female,Hispanic,3.77,3.69,511,RA
2021,Male,White/Caucasian,3.92,3.85,509,RA
2021,Female,Asian,4,4,514,RA
2021,Female,Multiple,3.62,3.35,506,RA
2021,Female,Asian,3.75,3.56,514,RA
2021,Male,Multiple,3.96,3.89,518,RA
2021,Female,White/Caucasian,3.88,3.91,510,RA
2021,Female,Asian,3.93,3.86,514,RA
2021,Male,Hispanic,3.93,3.95,505,RA
2021,Male,Multiple,3.97,4,511,RA
2021,Female,Unreported,3.96,4,507,RA
2021,Female,Hispanic,3.68,3.24,513,RA
2021,Female,Hispanic,3.99,3.98,506,RA
